player_name,team,player_type,batting_form,bowling_form,score,adjusted_score,credits,Role_In_Team
Travis Head,SRH,BAT,90.57658959537572,25.508670520231213,249.08562138728325,261.53990245664744,9.0,Captain
Heinrich Klaasen,SRH,WK,90.42569845857416,41.115606936416185,248.67067076107898,261.10420429913296,9.0,Vice Captain
Ishan Kishan,SRH,WK,87.4290301862556,42.01838471419397,240.42983301220292,252.45132466281308,9.0,Player
Shreyas Iyer,PBKS,BAT,84.57811496467566,38.93063583815029,232.58981615285808,232.58981615285808,9.0,Player
Prabhsimran Singh,PBKS,WK,80.0605732177264,41.115606936416185,220.16657634874764,220.16657634874764,9.0,Player
Shashank Singh,PBKS,BAT,75.50790783558124,43.621387283237,207.6467465478484,207.6467465478484,9.0,Player
Abhishek Sharma,SRH,ALL,75.74971901091843,46.83341361592807,194.10865496547842,203.81408771375234,9.0,Player
Harshal Patel,SRH,BOWL,39.05595696852922,73.93762042389211,175.60184850674375,184.38194093208094,9.0,Player
Arshdeep Singh,PBKS,BOWL,31.96897077713552,77.52954399486192,184.13266698779705,184.13266698779705,9.0,Player
Glenn Maxwell,PBKS,ALL,60.66028420038535,70.8298811817598,181.50157052825946,181.50157052825946,9.0,Player
Rahul Chahar,SRH,BOWL,41.11422849941226,71.25202296991068,169.22355455353787,177.68473228121476,9.0,Player
