Team,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Start Date,End Date
GT,Azmatullah Omarzai,2024-2024,7,7.0,21.0,0.0,186.0,4.0,2/27,46.5,8.85,31.5,0.0,0.0,2024-01-01,2024-12-31
GT,SH Johnson,2024-2024,5,5.0,16.0,0.0,151.0,4.0,2/25,37.75,9.43,24.0,0.0,0.0,2024-01-01,2024-12-31
GT,PJ Sangwan,2022-2022,3,3.0,9.0,0.0,65.0,3.0,2/19,21.66,7.22,18.0,0.0,0.0,2022-01-01,2022-12-31
GT,VR Aaron,2022-2022,2,2.0,5.0,0.0,52.0,2.0,2/45,26.0,10.4,15.0,0.0,0.0,2022-01-01,2022-12-31
GT,K Rabada,2025-2025,1,1.0,3.0,0.0,31.0,1.0,1/31,31.0,10.33,18.0,0.0,0.0,2025-01-01,2025-12-31
GT,Arshad Khan,2025-2025,1,1.0,1.0,0.0,21.0,0.0,,,21.0,,0.0,0.0,2025-01-01,2025-12-31
GT,Kartik Tyagi,2024-2024,1,1.0,4.0,0.0,51.0,0.0,,,12.75,,0.0,0.0,2024-01-01,2024-12-31
GT,Mohammed Siraj,2025-2025,1,1.0,2.0,0.0,14.0,0.0,,,7.0,,0.0,0.0,2025-01-01,2025-12-31
GT,M Prasidh Krishna,2025-2025,1,1.0,2.0,0.0,17.0,0.0,,,8.5,,0.0,0.0,2025-01-01,2025-12-31
GT,M Shahrukh Khan,2024-2025,8,2.0,2.0,0.0,15.0,0.0,,,7.5,,0.0,0.0,2024-01-01,2025-12-31
GT,V Shankar,2022-2024,25,2.0,1.3,0.0,15.0,0.0,,,10.0,,0.0,0.0,2022-01-01,2024-12-31
GT,MJ Suthar,2024-2024,1,1.0,2.0,0.0,26.0,0.0,,,13.0,,0.0,0.0,2024-01-01,2024-12-31
GT,R Tewatia,2022-2025,46,7.0,8.1,0.0,91.0,0.0,,,11.14,,0.0,0.0,2022-01-01,2025-12-31
GT,J Yadav,2023-2023,1,1.0,4.0,0.0,26.0,0.0,,,6.5,,0.0,0.0,2023-01-01,2023-12-31
GT,JC Buttler,2025-2025,1,,,,,,,,,,,,2025-01-01,2025-12-31
GT,A Manohar,2022-2024,19,,,,,,,,,,,,2022-01-01,2024-12-31
