Player,Credits,Player Type,Bowler Type,Team,Batting Form,Bowling Form,Fielding Form
Mitchell Santner,7.5,ALL,SPIN,MI,57.59259259259258,64.5,57.44444444444444
Reece Topley,6.5,BOWL,PACE,MI,,,
Corbin Bosch,6.0,ALL,-,MI,,,
Jasprit Bumrah,9.0,BOWL,PACE,MI,14.5,47.407407407407405,46.888888888888886
Trent Boult,8.5,BOWL,PACE,MI,28.518518518518512,79.66666666666667,32.629629629629626
Suryakumar Yadav,9.0,BAT,-,MI,87.74074074074073,30.0,32.629629629629626
Deepak Chahar,8.0,BOWL,PACE,MI,63.444444444444436,72.5,46.888888888888886
Karn Sharma,6.5,BOWL,SPIN,MI,,,
Rohit Sharma,9.0,BAT,-,MI,53.629629629629626,30.0,32.629629629629626
Musheer Khan,6.0,ALL,-,PBKS,,,
Harnoor Singh Pannu,5.0,BAT,-,PBKS,,,
Pyla Avinash,5.5,BAT,-,PBKS,,,
Suryansh Shedge,5.5,ALL,-,PBKS,,,
Harpreet Brar,6.5,BOWL,SPIN,PBKS,,,
Priyansh Arya,6.5,BAT,-,PBKS,,,
Kuldeep Sen,6.0,BOWL,PACE,PBKS,,,
Marco Jansen,8.0,ALL,PACE,PBKS,61.18518518518518,68.90740740740739,46.888888888888886
Nehal Wadhera,7.5,BAT,-,PBKS,81.46296296296296,30.0,32.629629629629626
Prabhsimran Singh,7.5,WK,-,PBKS,70.53703703703704,30.0,71.25925925925925
Aaron Hardie,7.0,ALL,-,PBKS,,,
Arshdeep Singh,8.5,BOWL,PACE,PBKS,24.42592592592592,84.35185185185185,32.629629629629626
Azmatullah Omarzai,7.5,ALL,PACE,PBKS,46.01851851851852,32.40740740740741,32.629629629629626
Vishnu Vinod,6.5,WK,-,PBKS,,,
Xavier Bartlett,6.5,BOWL,PACE,PBKS,,,
Shashank Singh,7.5,BAT,-,PBKS,67.87037037037037,30.0,57.44444444444444
Lockie Ferguson,7.5,BOWL,PACE,PBKS,46.05555555555556,82.8888888888889,32.629629629629626
Josh Inglis,7.5,WK,-,PBKS,,,
Vyshak Vijaykumar,7.0,BOWL,PACE,PBKS,14.5,42.18518518518519,32.629629629629626
Pravin Dubey,6.0,BOWL,-,PBKS,,,
Yash Thakur,6.5,BOWL,PACE,PBKS,14.5,63.05555555555556,32.629629629629626
Shreyas Iyer,8.5,BAT,-,PBKS,93.57407407407406,30.0,46.888888888888886
Marcus Stoinis,8.0,ALL,PACE,PBKS,45.2037037037037,35.2962962962963,32.629629629629626
Yuzvendra Chahal,8.5,BOWL,SPIN,PBKS,14.5,60.05555555555556,57.44444444444444
Glenn Maxwell,8.5,ALL,SPIN,PBKS,51.907407407407405,81.79629629629629,70.77777777777777
Abhinandan Singh,5.0,BOWL,PACE,RCB,,,
Swastik Chikara,5.5,BAT,-,RCB,,,
Mohit Rathee,6.0,ALL,SPIN,RCB,,,
Suyash Sharma,6.0,BOWL,SPIN,RCB,14.5,72.48148148148148,32.629629629629626
Jacob Bethell,7.0,BAT,SPIN,RCB,,,
Rasikh Salam,6.5,BOWL,PACE,RCB,14.5,57.16666666666667,46.888888888888886
Yash Dayal,7.0,BOWL,PACE,RCB,14.5,87.35185185185185,46.888888888888886
Manoj Bhandage,6.5,ALL,-,RCB,,,
Nuwan Thushara,7.5,BOWL,PACE,RCB,,,
Romario Shepherd,7.0,ALL,PACE,RCB,,,
Tim David,7.5,BAT,-,RCB,84.29629629629629,30.0,65.5925925925926
Devdutt Padikkal,7.0,BAT,-,RCB,63.05555555555555,30.0,32.629629629629626
Krunal Pandya,7.5,ALL,SPIN,RCB,40.40740740740741,83.22222222222223,46.888888888888886
Rajat Patidar,8.0,BAT,-,RCB,89.55555555555554,30.0,46.888888888888886
Jitesh Sharma,7.5,WK,-,RCB,73.38888888888887,30.0,84.77777777777777
Lungi Ngidi,7.5,BOWL,PACE,RCB,,,
Philip Salt,8.5,WK,-,RCB,86.92592592592592,30.0,70.77777777777777
Liam Livingstone,8.0,ALL,SPIN,RCB,65.66666666666667,74.14814814814815,65.5925925925926
Josh Hazlewood,8.5,BOWL,PACE,RCB,14.5,91.37037037037038,32.629629629629626
Bhuvneshwar Kumar,8.0,BOWL,PACE,RCB,23.64814814814814,87.22222222222223,32.629629629629626
Swapnil Singh,7.0,ALL,SPIN,RCB,,,
Virat Kohli,9.0,BAT,-,RCB,85.49999999999999,30.0,46.888888888888886
Vaibhav Suryavanshi,5.0,BAT,-,RR,,,
Ashok Sharma,5.0,BOWL,-,RR,,,
Kwena Maphaka,6.0,BOWL,PACE,RR,,,
Kunal Singh Rathore,5.0,WK,-,RR,,,
Akash Madhwal,7.0,BOWL,PACE,RR,,,
Shubham Dubey,5.5,BAT,-,RR,66.18518518518518,30.0,32.629629629629626
Yudhvir Singh Charak,6.5,ALL,-,RR,14.5,38.74074074074075,32.629629629629626
Maheesh Theekshana,7.5,BOWL,SPIN,RR,31.796296296296294,82.12962962962962,32.629629629629626
