player,team,Inferred_Role,match_id,Batting_Form,Bowling_Form,Fielding_Form,Player_Form
P Simran Singh,Punjab Kings,BAT,2024-05-19,61.51333333333333,0.0,0,61.51333333333333
PBB Rajapaksa,Punjab Kings,Unknown,2023-05-08,0.0,0.0,0,0.0
PD Salt,Kolkata Knight Riders,BAT,2024-05-11,63.46,0.0,25,68.46000000000001
PJ Cummins,Sunrisers Hyderabad,ALL,2024-05-26,46.594736842105256,69.0,0,57.797368421052624
PK Garg,Delhi Capitals,BAT,2023-05-02,30.27692307692308,0.0,0,30.27692307692308
PN Mankad,Lucknow Super Giants,BAT,2023-05-24,25.799999999999997,0.0,0,25.799999999999997
PP Chawla,Mumbai Indians,BOWL,2024-05-17,0.0,103.75,0,103.75
PP Shaw,Delhi Capitals,BAT,2024-04-29,71.85428571428571,0.0,0,71.85428571428571
PVD Chameera,Kolkata Knight Riders,Unknown,2024-04-26,0.0,0.0,0,0.0
PWH de Silva,Royal Challengers Bangalore,ALL,2023-05-09,47.480000000000004,43.75,0,45.615
Q de Kock,Lucknow Super Giants,BAT,2024-05-14,54.080000000000005,0.0,0,54.080000000000005
R Ashwin,Rajasthan Royals,Unknown,2024-05-24,0.0,0.0,10,0.0
R Dhawan,Punjab Kings,Unknown,2024-05-19,0.0,0.0,0,0.0
R Goyal,Mumbai Indians,Unknown,2023-05-06,0.0,0.0,10,0.0
R Parag,Rajasthan Royals,BAT,2024-05-24,46.2,0.0,0,46.2
R Powell,Rajasthan Royals,BAT,2024-05-24,22.2,0.0,0,22.2
R Ravindra,Chennai Super Kings,BAT,2024-05-18,59.313333333333325,0.0,0,59.313333333333325
R Sai Kishore,Gujarat Titans,BOWL,2024-04-28,0.0,83.0,0,83.0
R Shepherd,Mumbai Indians,Unknown,2024-05-17,0.0,0.0,0,0.0
R Tewatia,Gujarat Titans,WK,2024-05-10,10.2,0.0,10,14.2
RA Jadeja,Chennai Super Kings,Unknown,2024-05-18,0.0,0.0,0,0.0
RA Tripathi,Sunrisers Hyderabad,BAT,2024-05-26,39.58923076923077,0.0,0,39.58923076923077
RD Chahar,Punjab Kings,Unknown,2024-05-19,0.0,0.0,0,0.0
RD Gaikwad,Chennai Super Kings,Unknown,2024-05-18,0.0,0.0,0,0.0
RG Sharma,Mumbai Indians,BAT,2024-05-17,60.50421052631579,0.0,0,60.50421052631579
RJ Gleeson,Chennai Super Kings,Unknown,2024-05-05,0.0,0.0,0,0.0
RJW Topley,Royal Challengers Bengaluru,BOWL,2024-04-15,0.0,21.0,0,21.0
RK Bhui,Delhi Capitals,Unknown,2024-03-28,0.0,0.0,0,0.0
RK Singh,Kolkata Knight Riders,Unknown,2024-05-26,0.0,0.0,0,0.0
RM Patidar,Royal Challengers Bengaluru,BAT,2024-05-22,64.76363636363637,0.0,0,64.76363636363637
RP Meredith,Mumbai Indians,BOWL,2023-04-30,0.0,75.25,0,75.25
RR Pant,Delhi Capitals,BAT,2024-05-14,67.90347826086956,0.0,40,75.90347826086956
RR Rossouw,Punjab Kings,BAT,2024-05-19,82.85304347826087,0.0,0,82.85304347826087
RS Hangargekar,Chennai Super Kings,Unknown,2023-04-03,0.0,0.0,0,0.0
RV Patel,Delhi Capitals,BAT,2023-05-10,24.6,0.0,10,26.6
Rahmanullah Gurbaz,Kolkata Knight Riders,BAT,2024-05-26,45.3025,0.0,30,51.3025
Ramandeep Singh,Kolkata Knight Riders,WK,2024-05-26,5.28,0.0,10,9.280000000000001
Rashid Khan,Gujarat Titans,BOWL,2024-05-10,0.0,36.0,10,38.0
Rasikh Salam,Delhi Capitals,Unknown,2024-05-14,0.0,0.0,0,0.0
Ravi Bishnoi,Lucknow Super Giants,BOWL,2024-05-17,0.0,51.75,10,53.75
S Dhawan,Punjab Kings,BAT,2024-04-09,45.05,0.0,10,47.05
S Dube,Chennai Super Kings,BAT,2024-05-18,23.36,0.0,0,23.36
S Gopal,Mumbai Indians,BOWL,2024-04-18,0.0,37.0,0,37.0
S Joseph,Lucknow Super Giants,Unknown,2024-04-14,0.0,0.0,0,0.0
S Sandeep Warrier,Gujarat Titans,BOWL,2024-05-10,0.0,81.83333333333333,0,81.83333333333333
SA Yadav,Mumbai Indians,WK,2024-05-17,24.599999999999998,0.0,10,28.599999999999998
SB Dubey,Rajasthan Royals,Unknown,2024-05-12,0.0,0.0,0,0.0
SD Hope,Delhi Capitals,BAT,2024-05-14,52.56222222222222,0.0,10,54.56222222222222
SH Johnson,Gujarat Titans,ALL,2024-04-17,30.75,44.5,10,39.625
SK Rasheed,Punjab Kings,WK,2023-04-30,0.0,0.0,10,4.0
SM Curran,Punjab Kings,ALL,2024-05-15,55.89756097560975,72.0,0,63.948780487804875
SN Khan,Delhi Capitals,BAT,2023-04-29,35.9,0.0,0,35.9
SN Thakur,Chennai Super Kings,ALL,2024-05-18,17.4,10.5,0,13.95
SO Hetmyer,Rajasthan Royals,BAT,2024-05-24,18.013333333333332,0.0,0,18.013333333333332
SP Narine,Kolkata Knight Riders,ALL,2024-05-26,105.1,101.0,10,105.05
SS Iyer,Kolkata Knight Riders,BAT,2024-05-26,75.33999999999999,0.0,0,75.33999999999999
SS Prabhudessai,Royal Challengers Bengaluru,BAT,2024-04-21,42.21999999999999,0.0,0,42.21999999999999
SSB Magala,Chennai Super Kings,Unknown,2023-04-12,0.0,0.0,10,0.0
SV Samson,Rajasthan Royals,BAT,2024-05-24,43.692727272727275,0.0,15,46.692727272727275
SZ Mulani,Mumbai Indians,Unknown,2024-03-27,0.0,0.0,0,0.0
Sameer Rizvi,Chennai Super Kings,BAT,2024-05-12,59.19,0.0,0,59.19
