Team,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Start Date,End Date
PBKS,K Rabada,2022-2024,30,30.0,7.0,7.0,0.0,0.0,7.0,,0.233,2022-01-01,2024-12-31
PBKS,Shashank Singh,2024-2025,15,14.0,7.0,7.0,0.0,0.0,7.0,,0.5,2024-01-01,2025-12-31
PBKS,HV Patel,2024-2024,14,14.0,5.0,5.0,0.0,0.0,5.0,,0.357,2024-01-01,2024-12-31
PBKS,Sikandar Raza,2023-2024,9,9.0,5.0,5.0,0.0,0.0,5.0,,0.555,2023-01-01,2024-12-31
PBKS,A Taide,2023-2024,9,9.0,5.0,5.0,0.0,0.0,5.0,,0.555,2023-01-01,2024-12-31
PBKS,PBB Rajapaksa,2022-2023,13,13.0,4.0,4.0,0.0,0.0,4.0,,0.307,2022-01-01,2023-12-31
PBKS,RR Rossouw,2024-2024,8,8.0,4.0,4.0,0.0,0.0,4.0,,0.5,2024-01-01,2024-12-31
PBKS,R Dhawan,2022-2024,13,13.0,3.0,3.0,0.0,0.0,3.0,,0.23,2022-01-01,2024-12-31
PBKS,CH Gayle,2021-2021,10,10.0,3.0,3.0,0.0,0.0,3.0,,0.3,2021-01-01,2021-12-31
PBKS,AK Markram,2021-2021,6,6.0,3.0,3.0,0.0,0.0,3.0,,0.5,2021-01-01,2021-12-31
PBKS,N Pooran,2021-2021,12,12.0,3.0,3.0,0.0,0.0,3.0,,0.25,2021-01-01,2021-12-31
PBKS,MW Short,2023-2023,6,6.0,3.0,3.0,0.0,0.0,3.0,,0.5,2023-01-01,2023-12-31
PBKS,FA Allen,2021-2021,4,4.0,2.0,2.0,0.0,0.0,2.0,,0.5,2021-01-01,2021-12-31
PBKS,NT Ellis,2021-2024,16,16.0,2.0,2.0,0.0,0.0,2.0,,0.125,2021-01-01,2024-12-31
PBKS,SN Khan,2021-2021,2,2.0,2.0,2.0,0.0,0.0,2.0,,1.0,2021-01-01,2021-12-31
PBKS,Prabhsimran Singh,2021-2025,32,31.0,2.0,2.0,0.0,0.0,2.0,,0.064,2021-01-01,2025-12-31
PBKS,Ravi Bishnoi,2021-2021,9,9.0,2.0,2.0,0.0,0.0,2.0,,0.222,2021-01-01,2021-12-31
PBKS,Sandeep Sharma,2022-2022,5,5.0,2.0,2.0,0.0,0.0,2.0,,0.4,2022-01-01,2022-12-31
PBKS,AR Sharma,2024-2024,11,11.0,2.0,2.0,0.0,0.0,2.0,,0.181,2024-01-01,2024-12-31
PBKS,Shivam Singh,2024-2024,1,1.0,2.0,2.0,0.0,0.0,2.0,,2.0,2024-01-01,2024-12-31
PBKS,OF Smith,2022-2022,6,6.0,2.0,2.0,0.0,0.0,2.0,,0.333,2022-01-01,2022-12-31
PBKS,VG Arora,2022-2022,5,5.0,1.0,1.0,0.0,0.0,1.0,,0.2,2022-01-01,2022-12-31
PBKS,Harpreet Singh,2023-2024,5,5.0,1.0,1.0,0.0,0.0,1.0,,0.2,2023-01-01,2024-12-31
PBKS,MC Henriques,2021-2021,5,5.0,1.0,1.0,0.0,0.0,1.0,,0.2,2021-01-01,2021-12-31
PBKS,DJ Malan,2021-2021,1,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,2021-01-01,2021-12-31
PBKS,Mandeep Singh,2021-2021,1,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,2021-01-01,2021-12-31
PBKS,PN Mankad,2022-2022,1,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,2022-01-01,2022-12-31
PBKS,Mohammed Shami,2021-2021,14,14.0,1.0,1.0,0.0,0.0,1.0,,0.071,2021-01-01,2021-12-31
PBKS,JA Richardson,2021-2021,3,3.0,1.0,1.0,0.0,0.0,1.0,,0.333,2021-01-01,2021-12-31
PBKS,M Ashwin,2021-2021,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
PBKS,RA Bawa,2022-2022,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01,2022-12-31
PBKS,Gurnoor Brar,2023-2023,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,2023-12-31
PBKS,CJ Jordan,2021-2021,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
PBKS,V Kaverappa,2024-2024,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,2024-12-31
PBKS,RP Meredith,2021-2021,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
PBKS,Mohit Rathee,2023-2023,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,2023-12-31
PBKS,IC Porel,2021-2021,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
PBKS,AU Rashid,2021-2021,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
PBKS,Jalaj S Saxena,2021-2021,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01,2021-12-31
PBKS,P Arya,2025-2025,1,,,,,,,,,2025-01-01,2025-12-31
PBKS,Azmatullah Omarzai,2025-2025,1,,,,,,,,,2025-01-01,2025-12-31
PBKS,YS Chahal,2025-2025,1,,,,,,,,,2025-01-01,2025-12-31
PBKS,SS Iyer,2025-2025,1,,,,,,,,,2025-01-01,2025-12-31
PBKS,M Jansen,2025-2025,1,,,,,,,,,2025-01-01,2025-12-31
PBKS,GJ Maxwell,2025-2025,1,,,,,,,,,2025-01-01,2025-12-31
PBKS,MP Stoinis,2025-2025,1,,,,,,,,,2025-01-01,2025-12-31
PBKS,Suryansh Shedge,2025-2025,1,,,,,,,,,2025-01-01,2025-12-31
DC,RR Pant,2021-2024,43,43.0,41.0,29.0,12.0,29.0,0.0,,0.953,2021-01-01,2024-12-31
DC,AR Patel,2021-2025,54,54.0,32.0,32.0,0.0,0.0,32.0,,0.592,2021-01-01,2025-12-31
DC,DA Warner,2022-2024,34,34.0,18.0,18.0,0.0,0.0,18.0,,0.529,2022-01-01,2024-12-31
DC,Lalit Yadav,2021-2024,27,27.0,16.0,16.0,0.0,0.0,16.0,,0.592,2021-01-01,2024-12-31
DC,R Powell,2022-2023,17,17.0,10.0,10.0,0.0,0.0,10.0,,0.588,2022-01-01,2023-12-31
DC,Aman Hakim Khan,2023-2023,11,11.0,9.0,9.0,0.0,0.0,9.0,,0.818,2023-01-01,2023-12-31
DC,S Dhawan,2021-2021,16,16.0,9.0,9.0,0.0,0.0,9.0,,0.562,2021-01-01,2021-12-31
DC,Kuldeep Yadav,2022-2025,40,40.0,9.0,9.0,0.0,0.0,9.0,,0.225,2022-01-01,2025-12-31
DC,K Rabada,2021-2021,15,15.0,9.0,9.0,0.0,0.0,9.0,,0.6,2021-01-01,2021-12-31
DC,SPD Smith,2021-2021,8,8.0,9.0,9.0,0.0,0.0,9.0,,1.125,2021-01-01,2021-12-31
DC,T Stubbs,2024-2025,15,15.0,9.0,9.0,0.0,0.0,9.0,,0.6,2024-01-01,2025-12-31
DC,PP Shaw,2021-2024,41,41.0,8.0,8.0,0.0,0.0,8.0,,0.195,2021-01-01,2024-12-31
DC,SN Thakur,2022-2022,14,14.0,7.0,7.0,0.0,0.0,7.0,,0.5,2022-01-01,2022-12-31
DC,Abishek Porel,2023-2025,19,19.0,6.0,6.0,0.0,6.0,0.0,,0.315,2023-01-01,2025-12-31
DC,SD Hope,2024-2024,9,9.0,6.0,6.0,0.0,0.0,6.0,,0.666,2024-01-01,2024-12-31
DC,SS Iyer,2021-2021,8,8.0,6.0,6.0,0.0,0.0,6.0,,0.75,2021-01-01,2021-12-31
DC,Mukesh Kumar,2023-2025,21,21.0,6.0,6.0,0.0,0.0,6.0,,0.285,2023-01-01,2025-12-31
