Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Bowler Type,Team
Jamie Overton,60.4375,38.720625,37.873875,6.5,ALL,-,CHE
Jasprit Bumrah,21.68815028901734,74.25741510115607,47.922922687861266,9.0,BOWL,-,MI
Jayant Yadav,21.400316112716762,63.14501043673732,39.34062299293513,6.5,BOWL,-,GT
Jaydev Unadkat,23.1014450867052,43.60046965317919,29.672742052023118,7.0,BOWL,-,SRH
Jitesh Sharma,62.782848627167624,35.55780346820809,96.39656791907514,7.5,WK,-,RCB
Jofra Archer,46.05771315028902,61.09565570809248,41.02985910404624,8.0,BOWL,-,RR
Jos Buttler,80.65001806358381,35.55780346820809,64.09055274566474,9.0,WK,-,GT
Josh Hazlewood,19.702601156069363,88.01402637283236,31.62360910404624,8.5,BOWL,-,RCB
Josh Inglis,45.639062499999994,35.559,76.52687499999999,7.5,WK,-,PBKS
K Nitish Reddy,66.17359104046243,30.615606936416185,54.18791546242774,8.0,ALL,-,SRH
KL Shrijith,71.97205882352941,35.52811764705882,71.98073529411764,6.0,WK,-,MI
Kagiso Rabada,43.34722723988439,60.42238078034681,35.178522398843924,8.5,BOWL,-,GT
Kamindu Mendis,53.809374999999996,62.758937499999995,38.671875,7.0,BAT,-,SRH
Kamlesh Nagarkoti,26.245437499999998,67.82502777777778,39.260888888888886,6.0,BOWL,-,CHE
Karim Janat,56.60519301470588,56.483125,52.77461029411765,6.0,ALL,-,GT
Karn Sharma,29.52630057803468,70.15511199421965,46.96916546242774,6.5,BOWL,-,MI
Karun Nair,73.2453125,33.873,38.671875,7.0,BAT,-,DC
Khaleel Ahmed,13.576878612716763,84.40894147398843,32.5340137283237,7.5,BOWL,-,CHE
Krunal Pandya,43.79612536127168,76.47343749999999,49.05009031791907,7.5,ALL,-,RCB
Kuldeep Sen,21.400316112716762,66.61321852922286,43.459120102761716,6.0,BOWL,-,PBKS
Kuldeep Yadav,41.84416546242774,91.29095014450866,39.86060332369942,8.5,BOWL,-,DC
Kulwant Khejroliya,13.576878612716763,51.651716040462425,39.07899205202312,6.0,BOWL,-,GT
Kumar Kartikeya,31.073383309248555,65.03322796242774,31.62360910404624,6.0,BOWL,-,RR
Kumar Kushagra,59.516856511390685,35.526921115266916,60.85246939816388,5.5,WK,-,GT
Kunal Singh Rathore,71.97205882352941,35.52811764705882,71.98073529411764,5.0,WK,-,RR
Kwena Maphaka,21.400316112716762,57.42680234425177,37.38975594091201,6.0,BOWL,-,RR
Liam Livingstone,68.23837608381503,67.45479588150289,58.550180635838146,8.0,ALL,-,RCB
Lockie Ferguson,51.05832731213873,71.51585982658959,35.395285404624275,7.5,BOWL,-,PBKS
Lokesh Rahul,85.81585079479768,35.55780346820809,79.70953757225433,9.0,WK,-,DC
Lungi Ngidi,26.245437499999998,69.32502777777778,39.260888888888886,7.5,BOWL,-,RCB
Luvnith Sisodia,71.97205882352941,35.52811764705882,71.98073529411764,5.5,WK,-,KKR
MS Dhoni,76.43715679190751,35.55780346820809,91.47407875722543,7.0,WK,-,CHE
Madhav Tiwari,56.60519301470588,56.483125,52.77461029411765,5.0,ALL,-,DC
Maheesh Theekshana,29.725550939306356,67.20945628612716,33.01089234104046,7.5,BOWL,-,RR
Mahipal Lomror,70.58087891115858,30.344964972354866,54.42174462804725,6.5,BAT,-,GT
Manav Suthar,43.96790977771166,46.67971459537572,44.57347734614077,6.0,ALL,-,GT
Manimaran Siddharth,13.576878612716763,60.16223807803468,41.02985910404624,6.0,BOWL,-,LSG
Manish Pandey,53.63961343930636,35.55780346820809,33.921296965317914,7.0,BAT,-,KKR
Manoj Bhandage,36.41875,38.129999999999995,37.873875,6.5,ALL,-,RCB
Manvanth Kumar L,56.60519301470588,56.483125,52.77461029411765,5.5,ALL,-,DC
Marco Jansen,50.39280166184971,76.51245484104045,58.8970014450867,8.0,ALL,-,PBKS
Marcus Stoinis,67.1320899566474,42.74978323699422,36.9126264450867,8.0,ALL,-,PBKS
Matheesha Pathirana,13.576878612716763,77.8387012283237,54.18791546242774,8.5,BOWL,-,CHE
Matthew Breetzke,66.44504076086956,35.059005434782605,53.23301630434783,6.5,BAT,-,LSG
Mayank Markande,34.97835079479769,68.30396997430957,42.41865767501606,6.0,BOWL,-,KKR
Mayank Yadav,21.400316112716762,69.34009714193962,39.34062299293513,7.5,BOWL,-,LSG
Mitchell Marsh,88.5164830202312,40.968208092485554,32.5340137283237,8.0,BAT,-,LSG
Mitchell Santner,51.08715679190752,63.62789017341041,54.99526734104046,7.5,ALL,-,MI
Mitchell Starc,28.873265895953757,77.55079479768786,61.339830202312136,8.5,BOWL,-,DC
Moeen Ali,45.03873735549133,79.91876806358381,59.043406791907515,7.0,ALL,-,KKR
Mohammed Shami,34.1472362716763,65.65615968208093,44.888240606936414,8.5,BOWL,-,SRH
Mohammed Siraj,21.467052023121386,86.39608020231213,48.78997471098266,8.0,BOWL,-,GT
Mohit Rathee,43.79016411297178,46.47162210982659,44.57347734614077,6.0,ALL,-,RCB
Mohit Sharma,23.352194725433527,62.871911127167635,36.21898482658959,7.5,BOWL,-,DC
Mohsin Khan,31.50147218208092,71.11321852922286,41.20478484264611,7.0,BOWL,-,LSG
Mujeeb-ur-Rahman,18.421999999999997,55.53006249999999,31.543875,7.0,BOWL,-,MI
Mukesh Choudhary,20.456936416184973,53.42245303468208,34.701643786127164,6.5,BOWL,-,CHE
Mukesh Kumar,18.363005780346825,67.35902276011561,46.96916546242774,7.0,BOWL,-,DC
Musheer Khan,56.60519301470588,56.483125,52.77461029411765,6.0,ALL,-,PBKS
Naman Dhir,77.38082550578034,43.966365606936414,64.56101878612716,6.5,ALL,-,MI
Nathan Ellis,17.92514450867052,58.29384934971098,30.84326228323699,7.0,BOWL,-,CHE
Nehal Wadhera,78.0099891618497,33.71098265895954,46.96916546242774,7.5,BAT,-,PBKS
Nicholas Pooran,97.02780888728321,35.55780346820809,78.3098446531792,8.5,WK,-,LSG
Nishant Sindhu,56.60519301470588,56.483125,52.77461029411765,6.0,ALL,-,GT
Nitish Rana,81.73280346820809,42.721658236994216,38.16985187861272,7.5,ALL,-,RR
Noor Ahmad,24.72082731213873,89.08418533236994,35.178522398843924,7.5,BOWL,-,CHE
Nuwan Thushara,21.400316112716762,64.40657113037894,39.34062299293513,7.5,BOWL,-,RCB
Pat Cummins,67.12302203757224,68.34307261560694,65.89185332369942,8.5,BOWL,-,SRH
Philip Salt,86.48771676300578,35.55780346820809,67.71853323699422,8.5,WK,-,RCB
Prabhsimran Singh,83.24955744219653,35.55780346820809,59.82527095375722,7.5,WK,-,PBKS
Prasidh Krishna,13.576878612716763,77.74991871387283,39.07899205202312,7.5,BOWL,-,GT
Pravin Dubey,29.104073338150286,65.42535725754657,37.38975594091201,6.0,BOWL,-,PBKS
Prince Yadav,18.421999999999997,58.97537499999999,31.543875,5.5,BOWL,-,LSG
