Team,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
PBKS,M Shahrukh Khan,2021-2023,33,31,10,426,47,20.28,316,134.81,0,0,2,26,28
PBKS,Shashank Singh,2024-2024,14,14,6,354,68,44.25,215,164.65,0,2,2,28,21
PBKS,PBB Rajapaksa,2022-2023,13,13,1,277,50,23.08,191,145.02,0,1,1,22,15
PBKS,A Taide,2023-2024,9,9,0,247,66,27.44,168,147.02,0,2,1,27,8
PBKS,Harpreet Brar,2021-2024,38,23,12,213,29,19.36,178,119.66,0,0,1,17,8
PBKS,RR Rossouw,2024-2024,8,8,0,211,61,26.37,116,181.89,0,1,1,25,11
PBKS,CH Gayle,2021-2021,10,10,1,193,46,21.44,154,125.32,0,0,1,21,8
PBKS,AR Sharma,2024-2024,11,9,2,189,61,27.0,113,167.25,0,1,0,10,15
PBKS,Sikandar Raza,2023-2024,9,9,2,182,57,26.0,136,133.82,0,1,0,12,8
PBKS,DJ Hooda,2021-2021,12,11,1,160,64,16.0,123,130.08,0,1,1,9,9
PBKS,AK Markram,2021-2021,6,6,1,146,42,29.2,119,122.68,0,0,0,12,4
PBKS,MW Short,2023-2023,6,6,0,117,36,19.5,92,127.17,0,0,0,15,4
PBKS,Harpreet Singh,2023-2024,5,5,0,103,41,20.6,93,110.75,0,0,0,10,3
PBKS,RD Chahar,2022-2024,36,13,4,98,25,10.88,92,106.52,0,0,4,10,5
PBKS,N Pooran,2021-2021,12,11,0,85,32,7.72,76,111.84,0,0,4,3,5
PBKS,K Rabada,2022-2024,30,13,6,68,25,9.71,59,115.25,0,0,1,5,4
PBKS,R Dhawan,2022-2024,13,7,3,57,21,14.25,52,109.61,0,0,0,5,3
PBKS,OF Smith,2022-2022,6,6,3,51,25,17.0,44,115.9,0,0,1,1,5
PBKS,CJ Jordan,2021-2021,4,2,0,32,30,16.0,21,152.38,0,0,0,1,3
PBKS,MC Henriques,2021-2021,5,4,2,31,14,15.5,32,96.87,0,0,0,0,1
PBKS,Arshdeep Singh,2021-2024,54,11,7,29,10,7.25,37,78.37,0,0,2,4,0
PBKS,DJ Malan,2021-2021,1,1,0,26,26,26.0,26,100.0,0,0,0,1,1
PBKS,NT Ellis,2021-2024,16,5,1,19,12,4.75,25,76.0,0,0,2,0,1
PBKS,M Ashwin,2021-2021,3,2,0,15,9,7.5,24,62.5,0,0,0,1,0
PBKS,Mandeep Singh,2021-2021,1,1,0,15,15,15.0,14,107.14,0,0,0,2,0
PBKS,JA Richardson,2021-2021,3,2,0,15,15,7.5,24,62.5,0,0,1,2,0
PBKS,Mohammed Shami,2021-2021,14,4,3,13,9,13.0,17,76.47,0,0,0,0,0
PBKS,HV Patel,2024-2024,14,4,1,13,12,4.33,19,68.42,0,0,2,1,1
PBKS,RA Bawa,2022-2022,2,2,0,11,11,5.5,14,78.57,0,0,1,1,0
PBKS,FA Allen,2021-2021,4,3,2,6,6,6.0,12,50.0,0,0,0,0,0
PBKS,VG Arora,2022-2022,5,4,2,5,2,2.5,13,38.46,0,0,1,0,0
PBKS,PN Mankad,2022-2022,1,1,1,4,4,,1,400.0,0,0,0,1,0
PBKS,Shivam Singh,2024-2024,1,1,1,2,2,,3,66.66,0,0,0,0,0
PBKS,Mohit Rathee,2023-2023,1,1,1,1,1,,2,50.0,0,0,0,0,0
PBKS,Ravi Bishnoi,2021-2021,9,1,0,1,1,1.0,4,25.0,0,0,0,0,0
PBKS,SN Khan,2021-2021,2,2,0,0,0,0.0,4,0.0,0,0,2,0,0
PBKS,RP Meredith,2021-2021,5,1,1,0,0,,0,,0,0,0,0,0
PBKS,Gurnoor Brar,2023-2023,1,,,,,,,,,,,,
PBKS,V Kaverappa,2024-2024,1,,,,,,,,,,,,
PBKS,IC Porel,2021-2021,1,,,,,,,,,,,,
PBKS,AU Rashid,2021-2021,1,,,,,,,,,,,,
PBKS,Sandeep Sharma,2022-2022,5,,,,,,,,,,,,
PBKS,Jalaj S Saxena,2021-2021,1,,,,,,,,,,,,
DC,RR Pant,2021-2024,43,42,8,1205,88,35.44,837,143.96,0,6,0,113,51
DC,DA Warner,2022-2024,34,34,3,1116,92,36.0,804,138.8,0,12,3,138,35
DC,PP Shaw,2021-2024,41,41,0,1066,82,26.0,692,154.04,0,8,3,139,34
DC,AR Patel,2021-2024,53,41,14,740,66,27.4,548,135.03,0,3,2,54,36
DC,S Dhawan,2021-2021,16,16,1,587,92,39.13,471,124.62,0,3,0,63,16
DC,MR Marsh,2022-2024,21,21,0,440,89,20.95,324,135.8,0,3,4,39,24
DC,T Stubbs,2024-2024,14,13,6,378,71,54.0,198,190.9,0,3,1,24,26
DC,Abishek Porel,2023-2024,18,16,2,360,65,25.71,236,152.54,0,2,1,37,15
DC,J Fraser-McGurk,2024-2024,9,9,0,330,84,36.66,141,234.04,0,4,1,32,28
DC,Lalit Yadav,2021-2024,27,21,5,305,48,19.06,290,105.17,0,0,1,27,7
DC,R Powell,2022-2023,17,15,2,257,67,19.76,176,146.02,0,1,2,11,22
DC,SO Hetmyer,2021-2021,14,13,6,242,53,34.57,144,168.05,0,1,0,19,12
DC,PD Salt,2023-2023,9,9,1,218,87,27.25,133,163.9,0,2,2,24,10
DC,RR Rossouw,2023-2023,9,9,2,209,82,29.85,141,148.22,0,1,2,17,11
DC,SD Hope,2024-2024,9,9,1,183,41,22.87,122,150.0,0,0,0,12,12
DC,SS Iyer,2021-2021,8,8,3,175,47,35.0,171,102.33,0,0,0,7,5
DC,MK Pandey,2023-2023,10,9,0,160,50,17.77,146,109.58,0,1,2,15,3
DC,SPD Smith,2021-2021,8,7,1,152,39,25.33,135,112.59,0,0,0,13,2
DC,SN Khan,2022-2023,10,9,2,144,36,20.57,129,111.62,0,0,0,13,3
DC,Kuldeep Yadav,2022-2024,39,22,16,126,35,21.0,141,89.36,0,0,3,11,3
DC,SN Thakur,2022-2022,14,10,2,120,29,15.0,87,137.93,0,0,0,7,7
DC,Aman Hakim Khan,2023-2023,11,9,1,110,51,13.75,101,108.91,0,1,1,7,6
DC,MP Stoinis,2021-2021,10,7,3,89,27,22.25,72,123.61,0,0,1,11,1
DC,RV Patel,2021-2023,9,7,2,80,23,16.0,73,109.58,0,0,0,6,2
DC,R Ashwin,2021-2021,13,5,2,44,20,14.66,42,104.76,0,0,0,2,1
DC,A Nortje,2021-2024,30,10,5,42,23,8.4,43,97.67,0,0,2,6,0
DC,Rasikh Salam,2024-2024,8,4,0,28,10,7.0,30,93.33,0,0,0,4,0
DC,TL Seifert,2022-2022,2,2,0,24,21,12.0,19,126.31,0,0,0,4,0
DC,PK Garg,2023-2023,2,2,0,22,12,11.0,23,95.65,0,0,0,1,0
DC,TK Curran,2021-2021,3,2,1,21,21,21.0,17,123.52,0,0,0,2,0
DC,Gulbadin Naib,2024-2024,2,1,0,19,19,19.0,15,126.66,0,0,0,1,1
DC,Mandeep Singh,2022-2022,3,3,0,18,18,6.0,23,78.26,0,0,2,4,0
DC,Sumit Kumar,2024-2024,4,3,1,18,9,9.0,24,75.0,0,0,0,2,1
DC,YV Dhull,2023-2023,4,3,0,16,13,5.33,23,69.56,0,0,0,1,0
DC,P Dubey,2023-2023,1,1,0,16,16,16.0,20,80.0,0,0,0,2,0
DC,CR Woakes,2021-2021,3,1,1,15,15,,11,136.36,0,0,0,2,0
DC,K Rabada,2021-2021,15,3,3,13,9,,6,216.66,0,0,0,2,0
DC,Mukesh Kumar,2023-2024,20,5,4,10,6,10.0,18,55.55,0,0,0,0,0
DC,KS Bharat,2022-2022,2,2,0,8,8,4.0,7,114.28,0,0,1,2,0
DC,AM Rahane,2021-2021,2,1,0,8,8,8.0,8,100.0,0,0,0,1,0
DC,Avesh Khan,2021-2021,16,1,0,5,5,5.0,3,166.66,0,0,0,1,0
DC,Mustafizur Rahman,2022-2023,10,2,2,4,3,,6,66.66,0,0,0,0,0
DC,C Sakariya,2022-2023,5,2,1,4,4,4.0,6,66.66,0,0,0,1,0
DC,RK Bhui,2024-2024,2,2,0,3,3,1.5,9,33.33,0,0,1,0,0
DC,K Kushagra,2024-2024,4,3,0,3,2,1.0,7,42.85,0,0,1,0,0
DC,JA Richardson,2024-2024,1,1,0,2,2,2.0,2,100.0,0,0,0,0,0
DC,I Sharma,2021-2024,20,3,3,2,1,,8,25.0,0,0,0,0,0
DC,LB Williams,2024-2024,2,1,1,1,1,,2,50.0,0,0,0,0,0
DC,KK Ahmed,2022-2024,33,2,0,0,0,0.0,2,0.0,0,0,2,0,0
DC,LI Meriwala,2021-2021,1,,,,,,,,,,,,
DC,A Mishra,2021-2021,4,,,,,,,,,,,,
DC,KL Nagarkoti,2022-2022,1,,,,,,,,,,,,
GT,Shubman Gill,2022-2024,45,45,5,1799,129,44.97,1218,147.7,4,10,3,173,59
GT,B Sai Sudharsan,2022-2024,25,25,3,1034,103,47.0,743,139.16,1,6,0,95,31
GT,DA Miller,2022-2024,41,38,17,950,94,45.23,654,145.25,0,3,1,70,44
GT,HH Pandya,2022-2023,31,30,8,833,87,37.86,624,133.49,0,6,0,75,27
GT,WP Saha,2022-2024,37,37,2,824,81,23.54,661,124.65,0,5,3,105,18
GT,R Tewatia,2022-2024,45,31,13,492,43,27.33,333,147.74,0,0,0,49,21
GT,V Shankar,2022-2024,25,21,4,403,63,23.7,295,136.61,0,3,1,35,17
GT,Rashid Khan,2022-2024,45,25,12,323,79,24.84,175,184.57,0,1,6,22,25
GT,A Manohar,2022-2024,19,15,1,231,43,16.5,174,132.75,0,0,1,21,10
GT,MS Wade,2022-2024,12,11,0,161,35,14.63,144,111.8,0,0,0,23,2
GT,M Shahrukh Khan,2024-2024,7,7,0,127,58,18.14,75,169.33,0,1,1,9,9
GT,Azmatullah Omarzai,2024-2024,7,4,0,42,17,10.5,33,127.27,0,0,0,2,2
GT,KS Williamson,2023-2024,3,2,0,27,26,13.5,27,100.0,0,0,0,4,0
GT,MD Shanaka,2023-2023,3,3,1,26,17,13.0,26,100.0,0,0,1,2,1
GT,Noor Ahmad,2023-2024,23,7,3,13,7,3.25,18,72.22,0,0,1,2,0
GT,R Sai Kishore,2022-2024,10,2,1,13,13,13.0,6,216.66,0,0,0,0,2
GT,AS Joseph,2022-2023,16,5,4,12,7,12.0,19,63.15,0,0,1,1,0
GT,DG Nalkande,2022-2024,6,2,0,12,12,6.0,12,100.0,0,0,1,0,1
GT,UT Yadav,2024-2024,7,2,1,12,10,12.0,15,80.0,0,0,0,0,1
GT,SH Johnson,2024-2024,5,3,3,6,5,,7,85.71,0,0,0,1,0
GT,LH Ferguson,2022-2022,13,3,1,5,5,2.5,4,125.0,0,0,1,1,0
GT,Mohammed Shami,2022-2023,33,2,0,5,5,2.5,6,83.33,0,0,1,1,0
GT,PJ Sangwan,2022-2022,3,1,0,2,2,2.0,5,40.0,0,0,0,0,0
GT,BR Sharath,2024-2024,1,1,0,2,2,2.0,5,40.0,0,0,0,0,0
GT,MM Sharma,2023-2024,26,4,2,2,2,1.0,16,12.5,0,0,1,0,0
GT,MJ Suthar,2024-2024,1,1,0,1,1,1.0,2,50.0,0,0,0,0,0
GT,Yash Dayal,2022-2023,14,1,0,0,0,0.0,1,0.0,0,0,1,0,0
GT,VR Aaron,2022-2022,2,,,,,,,,,,,,
GT,Kartik Tyagi,2024-2024,1,,,,,,,,,,,,
GT,JB Little,2023-2024,11,,,,,,,,,,,,
GT,S Sandeep Warrier,2024-2024,5,,,,,,,,,,,,
GT,J Yadav,2023-2023,1,,,,,,,,,,,,
LSG,KL Rahul,2022-2024,38,38,4,1410,103,41.47,1079,130.67,2,10,3,118,53
LSG,MP Stoinis,2022-2024,40,39,6,952,124,28.84,641,148.51,1,5,4,74,56
LSG,Q de Kock,2022-2024,30,30,1,901,140,31.06,629,143.24,1,7,1,86,40
LSG,N Pooran,2023-2024,29,29,9,857,75,42.85,487,175.97,0,5,3,61,62
LSG,DJ Hooda,2022-2024,38,35,2,680,59,20.6,525,129.52,0,5,1,55,23
LSG,A Badoni,2022-2024,42,35,9,634,59,24.38,473,134.03,0,4,2,46,24
LSG,KH Pandya,2022-2024,43,39,16,504,49,21.91,415,121.44,0,0,4,39,15
LSG,KR Mayers,2023-2023,13,13,0,379,73,29.15,263,144.1,0,4,2,38,22
LSG,PN Mankad,2023-2023,5,5,2,93,64,31.0,72,129.16,0,1,1,12,2
LSG,MK Pandey,2022-2022,6,6,0,88,38,14.66,80,110.0,0,0,0,9,2
LSG,Arshad Khan,2024-2024,4,4,2,83,58,41.5,54,153.7,0,1,1,6,5
LSG,E Lewis,2022-2022,6,5,2,73,55,24.33,56,130.35,0,1,0,8,3
LSG,K Gowtham,2022-2024,12,8,3,61,23,12.2,38,160.52,0,0,1,2,5
LSG,JO Holder,2022-2022,12,8,2,58,16,9.66,44,131.81,0,0,0,2,6
LSG,PVD Chameera,2022-2022,12,8,4,43,17,10.75,28,153.57,0,0,2,3,3
LSG,D Padikkal,2024-2024,7,7,0,38,13,5.42,53,71.69,0,0,2,3,0
LSG,M Vohra,2022-2023,3,2,0,29,19,14.5,22,131.81,0,0,0,2,2
LSG,Mohsin Khan,2022-2024,24,5,2,25,13,8.33,24,104.16,0,0,1,2,1
LSG,Ravi Bishnoi,2022-2024,43,11,5,24,5,4.0,34,70.58,0,0,1,1,0
LSG,Avesh Khan,2022-2023,22,5,4,22,12,22.0,14,157.14,0,0,0,0,3
LSG,Yudhvir Singh,2023-2024,5,4,0,22,14,5.5,16,137.5,0,0,1,1,2
LSG,AJ Turner,2024-2024,2,2,0,21,16,10.5,18,116.66,0,0,0,0,2
LSG,A Mishra,2023-2024,8,1,0,19,19,19.0,30,63.33,0,0,0,2,0
LSG,Naveen-ul-Haq,2023-2024,18,6,5,18,13,18.0,25,72.0,0,0,0,2,0
LSG,KS Sharma,2022-2023,3,3,0,16,9,5.33,25,64.0,0,0,0,1,0
LSG,MA Wood,2023-2023,4,2,1,11,10,11.0,5,220.0,0,0,0,1,1
LSG,AA Kulkarni,2024-2024,2,2,0,9,9,4.5,8,112.5,0,0,1,2,0
LSG,JD Unadkat,2023-2023,3,1,0,9,9,9.0,7,128.57,0,0,0,1,0
LSG,Swapnil Singh,2023-2023,2,1,1,2,2,,4,50.0,0,0,0,0,0
LSG,R Shepherd,2023-2023,1,1,0,0,0,0.0,1,0.0,0,0,1,0,0
LSG,MJ Henry,2024-2024,4,,,,,,,,,,,,
LSG,S Joseph,2024-2024,1,,,,,,,,,,,,
LSG,M Siddharth,2024-2024,3,,,,,,,,,,,,
LSG,Yash Thakur,2023-2024,19,,,,,,,,,,,,
LSG,AJ Tye,2022-2022,3,,,,,,,,,,,,
LSG,MP Yadav,2024-2024,4,,,,,,,,,,,,
