Team,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
CSK,SN Thakur,2021-2024,25,7,4,26,17,8.66,22,118.18,0,0,1,2,1
CSK,BA Stokes,2023-2023,2,2,0,15,8,7.5,14,107.14,0,0,0,2,0
CSK,CJ Jordan,2022-2022,4,2,1,11,6,11.0,8,137.5,0,0,0,0,0
CSK,Simarjeet Singh,2022-2024,10,3,2,7,3,7.0,8,87.5,0,0,0,0,0
CSK,M Theekshana,2022-2024,27,2,1,7,7,7.0,7,100.0,0,0,1,0,1
CSK,Mukesh Choudhary,2022-2024,14,2,1,6,4,6.0,6,100.0,0,0,0,1,0
CSK,DL Chahar,2021-2024,33,3,3,2,1,,3,66.66,0,0,0,0,0
CSK,RJ Gleeson,2024-2024,2,1,1,2,2,,2,100.0,0,0,0,0,0
CSK,TU Deshpande,2022-2024,31,2,2,0,0,,2,0.0,0,0,0,0,0
CSK,Akash Singh,2023-2023,6,,,,,,,,,,,,
CSK,KM Asif,2021-2021,1,,,,,,,,,,,,
CSK,RS Hangargekar,2023-2023,2,,,,,,,,,,,,
CSK,JR Hazlewood,2021-2021,9,,,,,,,,,,,,
CSK,Imran Tahir,2021-2021,1,,,,,,,,,,,,
CSK,SSB Magala,2023-2023,2,,,,,,,,,,,,
CSK,AF Milne,2022-2022,1,,,,,,,,,,,,
CSK,Mustafizur Rahman,2024-2024,9,,,,,,,,,,,,
CSK,L Ngidi,2021-2021,3,,,,,,,,,,,,
CSK,M Pathirana,2022-2024,20,,,,,,,,,,,,
CSK,PH Solanki,2022-2022,2,,,,,,,,,,,,
MI,SA Yadav,2021-2024,49,49,4,1570,103,34.88,969,162.02,2,13,5,164,72
MI,Ishan Kishan,2021-2024,54,53,2,1433,84,28.09,1061,135.06,0,9,3,155,55
MI,RG Sharma,2021-2024,57,57,1,1398,105,24.96,1050,133.14,1,4,4,141,67
MI,NT Tilak Varma,2022-2024,38,38,9,1156,84,39.86,790,146.32,0,6,1,90,58
MI,TH David,2022-2024,37,34,12,658,46,29.9,384,171.35,0,0,3,38,46
MI,C Green,2023-2023,16,16,7,452,100,50.22,282,160.28,1,2,0,40,22
MI,KA Pollard,2021-2022,25,24,6,389,87,21.61,299,130.1,0,1,1,22,25
MI,N Wadhera,2023-2024,20,16,1,350,64,23.33,250,140.0,0,2,1,32,18
MI,HH Pandya,2021-2024,26,24,3,343,46,16.33,263,130.41,0,0,2,28,16
MI,Q de Kock,2021-2021,11,11,1,297,70,29.7,256,116.01,0,2,0,29,7
MI,D Brevis,2022-2024,10,10,0,230,49,23.0,172,133.72,0,0,1,17,16
