player_name,team,player_type,runs_per_mat,wkts_per_mat,dis_per_mat,credits,expected_points,role
Faf du Plessis,DC,BAT,37.19672131147541,0.0,0.4426229508196721,8.5,16.7827868852459,Captain
Jake Fraser-McGurk,DC,BAT,36.66666666666666,0.0,0.3333333333333333,7.5,16.53333333333333,Vice-Captain
Mitchell Marsh,LSG,BAT,23.4,0.0666666666666666,0.7333333333333333,8.0,10.633333333333333,
Tristan Stubbs,DC,BAT,22.5,0.2222222222222222,0.3888888888888889,8.0,10.26388888888889,
Aiden Markram,LSG,ALL,22.613636363636363,0.0454545454545454,0.5681818181818182,8.0,10.25340909090909,
David Miller,LSG,BAT,21.48,0.0,0.52,8.0,9.718,
Abishek Porel,DC,WK,20.0,0.0,0.3333333333333333,6.5,9.033333333333333,
Axar Patel,DC,ALL,13.962264150943396,0.8113207547169812,0.6037735849056604,9.0,6.708490566037735,
Kuldeep Yadav,DC,BOWL,3.230769230769231,1.205128205128205,0.2307692307692307,8.5,2.019230769230769,
Mukesh Kumar,DC,BOWL,0.5,1.2,0.3,7.0,0.795,
Ravi Bishnoi,LSG,BOWL,0.4807692307692308,0.9807692307692308,0.3461538461538461,8.0,0.6923076923076924,
