Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Liam Livingstone,81.33720930232559,57.32558139534884,46.94767441860465,8.0,ALL,RCB
Lockie Ferguson,41.68604651162791,48.77906976744186,43.4593023255814,7.5,BOWL,PBKS
Lokesh Rahul,75.81395348837209,51.74418604651163,94.04069767441861,9.0,WK,DC
MS Dhoni,80.0,51.74418604651163,99.82558139534883,7.0,WK,CSK
Maheesh Theekshana,19.825581395348838,44.53488372093023,36.48255813953489,7.5,BOWL,RR
Mahipal Lomror,73.25581395348838,30.20348837209302,55.08720930232558,6.5,BAT,GT
Manav Suthar,16.27906976744186,27.063953488372093,26.308139534883722,6.0,ALL,GT
Manimaran Siddharth,7.819767441860466,38.25581395348837,26.308139534883722,6.0,BOWL,LSG
Manish Pandey,63.77906976744187,51.74418604651163,60.61046511627907,7.0,BAT,KKR
Marco Jansen,45.40697674418605,48.08139534883721,59.593023255813954,8.0,ALL,PBKS
Marcus Stoinis,82.12209302325581,51.656976744186046,59.593023255813954,8.0,ALL,PBKS
Matheesha Pathirana,7.819767441860466,73.2267441860465,49.7093023255814,8.5,BOWL,CSK
Mayank Markande,54.33139534883721,55.98837209302326,41.27906976744186,6.0,BOWL,KKR
Mayank Yadav,7.819767441860466,62.76162790697674,32.122093023255815,7.5,BOWL,LSG
Mitchell Marsh,66.54069767441861,56.656976744186046,41.27906976744186,8.0,BAT,LSG
Mitchell Santner,30.348837209302328,65.34883720930232,39.09883720930233,7.5,ALL,MI
Mitchell Starc,28.430232558139537,48.80813953488372,49.7093023255814,8.5,BOWL,DC
Moeen Ali,71.45348837209303,70.31976744186048,65.40697674418605,7.0,ALL,KKR
Mohammed Shami,17.03488372093023,55.581395348837205,44.04069767441861,8.5,BOWL,SRH
Mohammed Siraj,45.05813953488372,67.6453488372093,69.18604651162791,8.0,BOWL,GT
Mohit Rathee,15.232558139534884,26.540697674418603,26.308139534883722,6.0,ALL,RCB
Mohit Sharma,13.866279069767442,66.39534883720931,57.412790697674424,7.5,BOWL,DC
Mohsin Khan,39.01162790697675,64.94186046511628,37.5,7.0,BOWL,LSG
Mukesh Choudhary,30.26162790697675,50.29069767441861,41.27906976744186,6.5,BOWL,CSK
Mukesh Kumar,23.924418604651166,51.74418604651163,49.7093023255814,7.0,BOWL,DC
Naman Dhir,72.41279069767442,28.110465116279066,41.27906976744186,6.5,ALL,MI
Nathan Ellis,20.55232558139535,65.11627906976744,29.79651162790698,7.0,BOWL,CSK
Nehal Wadhera,67.67441860465117,46.337209302325576,49.7093023255814,7.5,BAT,PBKS
Nicholas Pooran,88.11046511627906,51.74418604651163,85.5232558139535,8.5,WK,LSG
Nitish Rana,74.47674418604652,53.13953488372093,56.395348837209305,7.5,ALL,RR
Noor Ahmad,19.244186046511633,67.09302325581396,43.168604651162795,7.5,BOWL,CSK
Nuwan Thushara,7.819767441860466,42.848837209302324,32.122093023255815,7.5,BOWL,RCB
Pat Cummins,61.13372093023257,49.941860465116285,55.08720930232558,8.5,BOWL,SRH
Philip Salt,77.55813953488374,51.74418604651163,56.65697674418605,8.5,WK,RCB
Prabhsimran Singh,76.48255813953489,51.74418604651163,54.09883720930233,7.5,WK,PBKS
Pravin Dubey,34.127906976744185,35.63953488372093,32.122093023255815,6.0,BOWL,PBKS
Quinton de Kock,59.709302325581405,51.74418604651163,77.61627906976744,8.0,WK,KKR
Rachin Ravindra,71.97674418604652,47.99418604651163,52.90697674418605,8.0,BAT,CSK
Rahmanullah Gurbaz,61.01744186046512,51.74418604651163,73.75,7.5,WK,KKR
Rahul Chahar,47.383720930232556,63.95348837209303,59.593023255813954,6.5,BOWL,MI
Rahul Tewatia,75.87209302325583,29.418604651162788,65.98837209302326,7.0,ALL,GT
Rahul Tripathi,77.64534883720931,51.74418604651163,57.412790697674424,7.5,BAT,CSK
Rajat Patidar,84.2732558139535,51.74418604651163,52.90697674418605,8.0,BAT,RCB
Rajvardhan Hangargekar,7.819767441860466,42.32558139534884,26.308139534883722,5.5,BOWL,LSG
Ramandeep Singh,74.30232558139535,26.889534883720927,55.08720930232558,7.5,ALL,KKR
Rashid-Khan,79.41860465116281,73.77906976744187,67.73255813953489,9.0,BOWL,GT
Rasikh Salam,23.48837209302326,35.2906976744186,32.122093023255815,6.5,BOWL,RCB
Ravi Bishnoi,30.058139534883722,65.40697674418604,64.38953488372093,8.0,BOWL,LSG
Ravichandran Ashwin,66.04651162790698,64.88372093023256,51.30813953488372,8.0,ALL,CSK
Ravindra Jadeja,77.26744186046513,72.90697674418604,72.81976744186048,8.5,ALL,CSK
Ravisrinivasan Sai Kishore,58.69186046511628,59.912790697674424,46.51162790697674,7.0,BOWL,GT
Reece Topley,16.62790697674419,35.49418604651163,32.122093023255815,6.5,BOWL,MI
Rinku Singh,77.03488372093024,51.74418604651163,69.62209302325581,7.5,BAT,KKR
Rishabh Pant,90.6686046511628,51.74418604651163,99.59302325581396,9.0,WK,LSG
Riyan Parag,74.06976744186046,31.860465116279066,70.78488372093024,8.0,ALL,RR
Rohit Sharma,78.98255813953489,29.418604651162788,71.65697674418605,9.0,BAT,MI
Romario Shepherd,54.12790697674419,38.95348837209302,26.308139534883722,7.0,ALL,RCB
Rovman Powell,66.80232558139535,50.78488372093023,53.924418604651166,7.0,BAT,KKR
Ruturaj Gaikwad,82.1511627906977,51.74418604651163,70.49418604651163,9.0,BAT,CSK
Sai Sudharsan,78.80813953488372,51.74418604651163,41.27906976744186,8.0,BAT,GT
Sam Curran,69.30232558139535,56.16279069767441,58.57558139534884,7.5,ALL,CSK
Sameer Rizvi,46.65697674418605,51.74418604651163,32.122093023255815,6.5,BAT,DC
Sandeep Sharma,13.517441860465116,58.95348837209302,51.889534883720934,7.5,BOWL,RR
Sanju Samson,86.97674418604652,51.74418604651163,98.25581395348837,9.0,WK,RR
Shahbaz Ahmed,56.802325581395344,43.8953488372093,57.99418604651163,7.0,ALL,LSG
Shahrukh Khan,56.91860465116279,26.162790697674417,35.901162790697676,7.5,ALL,GT
Shamar Joseph,7.819767441860466,28.28488372093023,26.308139534883722,6.5,BOWL,LSG
