Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team,Bowler Type
Abhinav Manohar,50.32467532467533,50.29220779220779,53.40909090909091,6.5,BAT,GT,-
Abishek Porel,50.32467532467533,50.29220779220779,56.03896103896104,6.5,WK,DC,-
Adam Zampa,50.32467532467533,48.01948051948052,27.5974025974026,7.5,BOWL,RR,SPIN
Ajinkya Rahane,50.32467532467533,50.29220779220779,59.253246753246756,7.5,BAT,CSK,-
Akash Deep,50.32467532467533,27.824675324675322,27.5974025974026,7.0,BOWL,RCB,PACE
Akash Madhwal,50.32467532467533,50.68181818181819,27.5974025974026,7.0,BOWL,MI,PACE
Akash Singh,50.32467532467533,29.740259740259738,32.142857142857146,6.0,BOWL,CSK,PACE
Andre Russell,50.32467532467533,66.55844155844156,70.45454545454545,8.5,ALL,KKR,PACE
Andre Siddharth,50.32467532467533,34.12337662337662,27.5974025974026,5.5,BAT,LSG,-
Angkrish Raghuvanshi,50.32467532467533,50.29220779220779,42.37012987012987,6.5,BAT,KKR,-
Anrich Nortje,50.32467532467533,63.279220779220786,55.35714285714286,8.0,BOWL,DC,PACE
Anshul Kamboj,50.32467532467533,50.29220779220779,38.47402597402598,6.0,BOWL,MI,PACE
Anuj Rawat,50.32467532467533,50.29220779220779,60.616883116883116,6.5,WK,RCB,-
Anukul Sudhakar Roy,50.32467532467533,33.246753246753244,38.47402597402598,6.0,ALL,KKR,SPIN
Arshad Khan,50.32467532467533,21.363636363636363,33.116883116883116,5.5,ALL,LSG,PACE
Arshdeep Singh,50.32467532467533,62.824675324675326,57.95454545454545,8.5,BOWL,PBKS,PACE
Atharva Taide,50.32467532467533,50.29220779220779,44.8051948051948,6.5,BAT,PBKS,-
Avesh Khan,50.32467532467533,53.37662337662338,40.42207792207792,8.0,BOWL,DC,PACE
Axar Patel,50.32467532467533,70.25974025974025,69.96753246753246,9.0,ALL,DC,SPIN
Ayush Badoni,50.32467532467533,41.33116883116883,60.064935064935064,7.0,BAT,LSG,-
Azmatullah Omarzai,50.32467532467533,31.818181818181817,27.5974025974026,7.5,ALL,GT,PACE
Chetan Sakariya,50.32467532467533,43.246753246753244,34.253246753246756,6.0,BOWL,DC,PACE
Darshan Nalkande,50.32467532467533,36.68831168831169,35.38961038961039,6.5,BOWL,GT,PACE
David Miller,50.32467532467533,50.29220779220779,67.6948051948052,8.0,BAT,GT,-
Deepak Chahar,50.32467532467533,69.83766233766234,57.95454545454545,8.0,BOWL,CSK,PACE
Deepak Hooda,50.32467532467533,38.896103896103895,62.175324675324674,7.0,BAT,LSG,SPIN
Devdutt Padikkal,50.32467532467533,50.29220779220779,52.75974025974026,7.0,BAT,LSG,-
Devon Conway,50.32467532467533,50.29220779220779,50.48701298701299,8.0,WK,CSK,-
Dhruv Jurel,50.32467532467533,50.29220779220779,57.95454545454545,7.5,WK,RR,-
Dushmantha Chameera,50.32467532467533,38.116883116883116,35.38961038961039,7.0,BOWL,LSG,PACE
Faf du Plessis,50.32467532467533,50.29220779220779,70.94155844155844,8.5,BAT,CSK,-
Gerald Coetzee,50.32467532467533,41.94805194805195,27.5974025974026,7.0,BOWL,MI,PACE
Glenn Maxwell,50.32467532467533,46.36363636363637,61.201298701298704,8.5,ALL,DC,SPIN
Hardik Pandya,50.32467532467533,53.50649350649351,68.99350649350649,9.0,ALL,GT,PACE
Harpreet Brar,50.32467532467533,57.3051948051948,60.064935064935064,6.5,BOWL,PBKS,SPIN
Harshal Patel,50.32467532467533,59.80519480519481,43.993506493506494,8.0,BOWL,DC,PACE
Harshit Rana,50.32467532467533,56.65584415584415,46.42857142857143,8.0,BOWL,KKR,PACE
Heinrich Klaasen,50.32467532467533,50.29220779220779,62.62987012987013,9.0,WK,RCB,-
Ishan Kishan,50.32467532467533,50.29220779220779,97.53246753246754,8.0,WK,MI,-
Ishant Sharma,50.32467532467533,62.5,27.5974025974026,7.5,BOWL,DC,PACE
Jasprit Bumrah,50.32467532467533,78.01948051948052,63.14935064935065,9.0,BOWL,MI,PACE
Jayant Yadav,50.32467532467533,41.688311688311686,33.603896103896105,6.5,BOWL,DC,SPIN
Jaydev Unadkat,50.32467532467533,42.922077922077925,33.92857142857143,7.0,BOWL,DC,PACE
Jitesh Sharma,50.32467532467533,50.29220779220779,92.1103896103896,7.5,WK,PBKS,-
Jofra Archer,50.32467532467533,74.48051948051948,53.40909090909091,8.0,BOWL,RR,PACE
Jos Buttler,50.32467532467533,50.29220779220779,91.36363636363636,9.0,WK,MI,-
Josh Hazlewood,50.32467532467533,58.311688311688314,27.5974025974026,8.5,BOWL,CSK,PACE
Kagiso Rabada,50.32467532467533,68.11688311688312,62.5,8.5,BOWL,DC,PACE
Kamlesh Nagarkoti,50.32467532467533,31.07142857142857,42.37012987012987,6.0,BOWL,KKR,PACE
Karn Sharma,50.32467532467533,49.285714285714285,41.07142857142857,6.5,BOWL,CSK,SPIN
Karun Nair,50.32467532467533,50.29220779220779,49.51298701298701,7.0,BAT,DC,-
Khaleel Ahmed,50.32467532467533,61.201298701298704,27.5974025974026,7.5,BOWL,DC,PACE
Krunal Pandya,50.32467532467533,64.41558441558442,65.42207792207792,7.5,ALL,LSG,SPIN
Kuldeep Sen,50.32467532467533,44.05844155844156,42.37012987012987,6.0,BOWL,RR,PACE
Kuldeep Yadav,50.32467532467533,66.55844155844156,55.68181818181818,8.5,BOWL,DC,SPIN
Kulwant Khejroliya,50.32467532467533,23.603896103896105,27.5974025974026,6.0,BOWL,KKR,PACE
Kumar Kartikeya,50.32467532467533,45.09740259740259,27.5974025974026,6.0,BOWL,MI,SPIN
Liam Livingstone,50.32467532467533,56.42857142857143,54.22077922077922,8.0,ALL,PBKS,SPIN
Lockie Ferguson,50.32467532467533,42.92207792207792,37.175324675324674,7.5,BOWL,GT,PACE
Lokesh Rahul,50.32467532467533,50.29220779220779,91.81818181818181,9.0,WK,LSG,-
Lungi Ngidi,50.32467532467533,64.51298701298701,35.38961038961039,7.5,BOWL,CSK,PACE
MS Dhoni,50.32467532467533,50.29220779220779,99.8051948051948,7.0,WK,CSK,-
Maheesh Theekshana,50.32467532467533,60.22727272727273,42.37012987012987,7.5,BOWL,CSK,SPIN
Mahipal Lomror,50.32467532467533,50.29220779220779,53.40909090909091,6.5,BAT,RCB,-
Manav Suthar,50.32467532467533,25.64935064935065,27.5974025974026,6.0,ALL,GT,SPIN
Manimaran Siddharth,50.32467532467533,34.12337662337662,27.5974025974026,6.0,BOWL,LSG,SPIN
Manish Pandey,50.32467532467533,50.29220779220779,61.85064935064935,7.0,BAT,KKR,-
Marcus Stoinis,50.32467532467533,43.31168831168831,49.188311688311686,8.0,ALL,DC,PACE
Matheesha Pathirana,50.32467532467533,70.94155844155844,46.42857142857143,8.5,BOWL,CSK,PACE
Mayank Markande,50.32467532467533,52.27272727272727,44.8051948051948,6.0,BOWL,MI,SPIN
Mayank Yadav,50.32467532467533,56.72077922077922,32.142857142857146,7.5,BOWL,LSG,PACE
Mitchell Marsh,50.32467532467533,50.77922077922078,27.5974025974026,8.0,BAT,DC,PACE
Mitchell Santner,50.32467532467533,58.5064935064935,46.42857142857143,7.5,ALL,CSK,SPIN
Mitchell Starc,50.32467532467533,57.922077922077925,56.006493506493506,8.5,BOWL,KKR,PACE
Moeen Ali,50.32467532467533,61.23376623376623,57.30519480519481,7.0,ALL,CSK,SPIN
Mohammed Shami,50.32467532467533,53.896103896103895,40.746753246753244,8.5,BOWL,DC,PACE
Mohammed Siraj,50.32467532467533,63.76623376623377,68.01948051948051,8.0,BOWL,RCB,PACE
Mohit Sharma,50.32467532467533,63.57142857142857,56.65584415584416,7.5,BOWL,CSK,PACE
Mohsin Khan,50.32467532467533,61.49350649350649,35.38961038961039,7.0,BOWL,LSG,PACE
Mujeeb-ur-Rahman,50.32467532467533,50.77922077922078,27.5974025974026,7.0,BOWL,PBKS,SPIN
Mukesh Choudhary,50.32467532467533,44.285714285714285,38.47402597402598,6.5,BOWL,CSK,PACE
Mukesh Kumar,50.32467532467533,45.324675324675326,46.42857142857143,7.0,BOWL,DC,PACE
Naman Dhir,50.32467532467533,50.29220779220779,38.47402597402598,6.5,ALL,MI,SPIN
Nathan Ellis,50.32467532467533,52.33766233766234,27.5974025974026,7.0,BOWL,PBKS,PACE
Nehal Wadhera,50.32467532467533,50.29220779220779,46.42857142857143,7.5,BAT,MI,-
Nicholas Pooran,50.32467532467533,50.29220779220779,82.27272727272727,8.5,WK,LSG,-
Nitish Rana,50.32467532467533,56.81818181818183,58.92857142857143,7.5,ALL,KKR,-
Noor Ahmad,50.32467532467533,59.15584415584416,48.53896103896104,7.5,BOWL,GT,SPIN
Nuwan Thushara,50.32467532467533,34.642857142857146,27.5974025974026,7.5,BOWL,MI,PACE
Pat Cummins,50.32467532467533,54.35064935064935,39.77272727272727,8.5,BOWL,DC,PACE
Philip Salt,50.32467532467533,50.29220779220779,61.201298701298704,8.5,WK,DC,-
Prabhsimran Singh,50.32467532467533,50.29220779220779,51.52597402597402,7.5,WK,PBKS,-
Prasidh Krishna,50.32467532467533,50.77922077922078,40.0974025974026,7.5,BOWL,KKR,PACE
Quinton de Kock,50.32467532467533,50.29220779220779,88.31168831168831,8.0,WK,DC,-
Rachin Ravindra,50.32467532467533,50.29220779220779,50.48701298701299,8.0,BAT,CSK,SPIN
Rahmanullah Gurbaz,50.32467532467533,50.29220779220779,71.52597402597402,7.5,WK,KKR,-
Rahul Chahar,50.32467532467533,65.84415584415585,56.98051948051948,6.5,BOWL,MI,SPIN
Rahul Tewatia,50.32467532467533,51.94805194805194,55.032467532467535,7.0,ALL,DC,SPIN
Rahul Tripathi,50.32467532467533,50.29220779220779,54.22077922077922,7.5,BAT,KKR,-
Rajat Patidar,50.32467532467533,50.29220779220779,50.48701298701299,8.0,BAT,RCB,-
Rajvardhan Hangargekar,50.32467532467533,36.46103896103896,27.5974025974026,5.5,BOWL,CSK,PACE
Ramandeep Singh,50.32467532467533,53.01948051948052,43.66883116883117,7.5,ALL,KKR,PACE
Rashid-Khan,50.32467532467533,72.4025974025974,65.9090909090909,9.0,BOWL,GT,SPIN
Rasikh Salam,50.32467532467533,33.961038961038966,27.5974025974026,6.5,BOWL,DC,PACE
Ravi Bishnoi,50.32467532467533,64.74025974025975,51.785714285714285,8.0,BOWL,LSG,SPIN
Ravichandran Ashwin,50.32467532467533,63.37662337662337,54.70779220779221,8.0,ALL,CSK,SPIN
Ravindra Jadeja,50.32467532467533,71.94805194805194,72.72727272727272,8.5,ALL,CSK,SPIN
Ravisrinivasan Sai Kishore,50.32467532467533,54.87012987012987,44.8051948051948,7.0,BOWL,GT,SPIN
Reece Topley,50.32467532467533,27.98701298701299,27.5974025974026,6.5,BOWL,RCB,PACE
Rinku Singh,50.32467532467533,50.29220779220779,68.34415584415584,7.5,BAT,KKR,-
Rishabh Pant,50.32467532467533,50.29220779220779,98.8961038961039,9.0,WK,DC,-
Riyan Parag,50.32467532467533,24.805194805194805,70.45454545454545,8.0,ALL,RR,SPIN
Rohit Sharma,50.32467532467533,50.29220779220779,71.91558441558442,9.0,BAT,MI,-
Romario Shepherd,50.32467532467533,50.29220779220779,27.5974025974026,7.0,ALL,LSG,PACE
Rovman Powell,50.32467532467533,50.29220779220779,52.27272727272727,7.0,BAT,DC,-
Ruturaj Gaikwad,50.32467532467533,50.29220779220779,69.64285714285714,9.0,BAT,CSK,-
Sai Sudharsan,50.32467532467533,50.29220779220779,38.47402597402598,8.0,BAT,GT,-
Sam Curran,50.32467532467533,50.12987012987013,56.33116883116883,7.5,ALL,CSK,PACE
Sandeep Sharma,50.32467532467533,67.92207792207792,52.27272727272727,7.5,BOWL,PBKS,PACE
Sanju Samson,50.32467532467533,50.29220779220779,97.27272727272728,9.0,WK,DC,-
Shahbaz Ahmed,50.32467532467533,40.51948051948052,64.12337662337661,7.0,ALL,RCB,SPIN
Shahrukh Khan,50.32467532467533,21.363636363636363,33.116883116883116,7.5,ALL,LSG,-
Shamar Joseph,50.32467532467533,26.233766233766236,27.5974025974026,6.5,BOWL,LSG,PACE
Shashank Singh,50.32467532467533,50.29220779220779,48.53896103896104,7.5,BAT,PBKS,-
Sherfane Rutherford,50.32467532467533,50.29220779220779,44.8051948051948,7.0,BAT,DC,-
Shimron Hetmyer,50.32467532467533,50.29220779220779,60.87662337662338,7.5,BAT,DC,-
Shivam Dube,50.32467532467533,18.96103896103896,60.064935064935064,8.0,BAT,CSK,-
Shreyas Gopal,50.32467532467533,59.155844155844164,47.56493506493507,6.5,BOWL,MI,SPIN
