Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Bowler Type,Team
Aaron Hardie,57.977985074626865,56.830820895522386,53.97531343283582,7.0,ALL,-,PBKS
Abdul Samad,75.04549866275559,41.21102579587611,67.22510999913726,6.5,BAT,-,LSG
Abhinandan Singh,25.144241242765762,62.50422083460249,35.77034541577825,5.0,BOWL,PACE,RCB
Abhinav Manohar,39.642944957294446,42.96820809248555,52.86094814942628,6.5,BAT,-,SRH
Abhishek Sharma,78.7925653524286,48.14295574152359,56.19748080407213,8.5,ALL,SPIN,SRH
Abishek Porel,73.15175567250452,42.96820809248555,53.70904149771375,6.5,WK,-,DC
Adam Zampa,17.27919290829091,46.80695151410577,28.58187386765594,7.5,BOWL,SPIN,SRH
Aiden Markram,70.13265680269176,40.26734104046242,63.586079717021825,8.0,ALL,SPIN,LSG
Ajay Mandal,57.977985074626865,56.830820895522386,53.97531343283582,6.5,ALL,-,DC
Ajinkya Rahane,73.83433267190063,42.96820809248555,55.79706237598136,7.5,BAT,-,KKR
Akash Deep,42.60867267707704,47.417338883616594,40.31597791389872,7.0,BOWL,PACE,LSG
Akash Madhwal,25.239247023112583,62.81250407159673,35.95639165855282,7.0,BOWL,PACE,RR
Akash Singh,13.838958005771543,50.9266659213077,35.95639165855282,6.0,BOWL,-,LSG
Andre Russell,76.23703735656974,71.19853765852818,63.28002329393495,8.5,ALL,PACE,KKR
Andre Siddharth,10.633239151065482,52.61907945820033,37.83538952635666,5.5,BAT,-,CHE
Angkrish Raghuvanshi,70.41188206367009,42.96820809248555,47.445216115952036,6.5,BAT,-,KKR
Aniket Verma,69.8120802238806,39.373940298507456,55.00335820895523,5.0,BAT,-,SRH
Anrich Nortje,37.0036978901646,68.92233066119209,49.81477316144299,8.0,BOWL,PACE,KKR
Anshul Kamboj,25.593293265887148,42.631868233446426,43.138472583408316,6.0,BOWL,PACE,CHE
Anuj Rawat,66.41755888189113,43.007760331291514,71.30723406090932,6.5,WK,-,GT
Anukul Sudhakar Roy,44.63549952549391,48.10793072211199,46.57344060046588,6.0,ALL,SPIN,KKR
Arjun Tendulkar,40.038379971089455,50.188226614949315,31.404368537165535,5.0,BOWL,PACE,MI
Arshad Khan,39.388512639116556,35.45557976015874,45.984923647657666,5.5,ALL,PACE,GT
Arshdeep Singh,33.208426796652574,76.16368302993703,53.263954792511434,8.5,BOWL,PACE,PBKS
Arshin Kulkarni,57.977985074626865,56.830820895522386,53.97531343283582,6.0,ALL,PACE,LSG
Aryan Juyal,65.12276119402985,43.010552238805964,68.3020895522388,5.5,WK,-,LSG
Ashok Sharma,25.144241242765762,62.50422083460249,35.77034541577825,5.0,BOWL,-,RR
Ashutosh Sharma,72.65426839789491,42.96820809248555,31.31308774048831,7.0,BAT,-,DC
Ashwani Kumar,25.144241242765762,62.50422083460249,35.77034541577825,5.5,BOWL,PACE,MI
Atharva Taide,68.67913224700199,24.975668622206882,49.68457208178759,6.5,BAT,-,SRH
Avesh Khan,54.671458459149335,63.68524070399448,39.3044172202571,8.0,BOWL,PACE,LSG
Axar Patel,74.77656155637995,65.65740660857561,70.565848503149,9.0,ALL,SPIN,DC
Ayush Badoni,69.7954016046933,42.08815028901734,64.9996764731257,7.0,BAT,-,LSG
Azmatullah Omarzai,46.151486066775945,47.1379518592011,28.58187386765594,7.5,ALL,PACE,PBKS
Bevon Jacobs,62.8120802238806,39.373940298507456,55.00335820895523,6.0,BAT,-,MI
Bhuvneshwar Kumar,38.03762617548098,72.84292770252782,46.9922784919334,8.0,BOWL,PACE,RCB
Chetan Sakariya,25.289825057794665,56.449787308590935,40.30610264121178,6.0,BOWL,PACE,KKR
Corbin Bosch,57.977985074626865,56.830820895522386,53.97531343283582,6.0,ALL,-,MI
Darshan Nalkande,32.117859739875584,53.29371794442909,40.30610264121178,6.5,BOWL,PACE,DC
David Miller,73.11555301527048,42.96820809248555,63.889547925114314,8.0,BAT,-,LSG
Deepak Chahar,48.92737900094901,64.81676516262618,43.702441549478046,8.0,BOWL,PACE,MI
Deepak Hooda,49.44497886291088,39.842485549132945,57.56082305236822,7.0,BAT,SPIN,CHE
Devdutt Padikkal,64.70029548787853,42.96820809248555,48.81308774048831,7.0,BAT,-,RCB
Devon Conway,76.80090156155639,42.96820809248555,55.2342334569925,8.0,WK,-,CHE
Dhruv Jurel,79.83070917090846,42.96820809248555,65.583534638944,7.5,WK,-,RR
