Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Team,Start Date,End Date
A Mishra,2015-2021,68,68,10,10,0,0,10,2 (2ct 0st),0.147,DC,2013-01-01,2025-03-01
A Nortje,2020-2024,46,46,10,10,0,0,10,1 (1ct 0st),0.217,DC,2013-01-01,2025-03-01
R Powell,2022-2023,17,17,10,10,0,0,10,2 (2ct 0st),0.588,DC,2013-01-01,2025-03-01
Aman Hakim Khan,2023-2023,11,11,9,9,0,0,9,2 (2ct 0st),0.818,DC,2013-01-01,2025-03-01
KD Karthik,2014-2014,14,14,9,7,2,6,1,2 (2ct 0st),0.642,DC,2013-01-01,2025-03-01
Kuldeep Yadav,2022-2024,39,39,9,9,0,0,9,2 (2ct 0st),0.23,DC,2013-01-01,2025-03-01
SPD Smith,2021-2021,8,8,9,9,0,0,9,2 (2ct 0st),1.125,DC,2013-01-01,2025-03-01
SV Samson,2016-2017,28,28,8,7,1,0,7,2 (2ct 0st),0.285,DC,2013-01-01,2025-03-01
R Tewatia,2018-2019,13,13,8,8,0,0,8,4 (4ct 0st),0.615,DC,2013-01-01,2025-03-01
M Vijay,2014-2014,11,11,8,8,0,0,8,2 (2ct 0st),0.727,DC,2013-01-01,2025-03-01
SW Billings,2016-2017,11,11,7,7,0,0,7,2 (2ct 0st),0.636,DC,2013-01-01,2025-03-01
AD Mathews,2015-2017,14,14,7,7,0,0,7,1 (1ct 0st),0.5,DC,2013-01-01,2025-03-01
T Stubbs,2024-2024,14,14,7,7,0,0,7,2 (2ct 0st),0.5,DC,2013-01-01,2025-03-01
SN Thakur,2022-2022,14,14,7,7,0,0,7,2 (2ct 0st),0.5,DC,2013-01-01,2025-03-01
Abishek Porel,2023-2024,18,18,6,6,0,6,0,2 (2ct 0st),0.333,DC,2013-01-01,2025-03-01
Q de Kock,2014-2016,23,23,6,4,2,2,2,2 (2ct 0st),0.26,DC,2013-01-01,2025-03-01
SD Hope,2024-2024,9,9,6,6,0,0,6,3 (3ct 0st),0.666,DC,2013-01-01,2025-03-01
Mukesh Kumar,2023-2024,20,20,6,6,0,0,6,2 (2ct 0st),0.3,DC,2013-01-01,2025-03-01
V Shankar,2018-2018,13,13,6,6,0,0,6,2 (2ct 0st),0.461,DC,2013-01-01,2025-03-01
CJ Anderson,2017-2017,11,11,5,5,0,0,5,1 (1ct 0st),0.454,DC,2013-01-01,2025-03-01
R Ashwin,2020-2021,28,28,5,5,0,0,5,2 (2ct 0st),0.178,DC,2013-01-01,2025-03-01
Avesh Khan,2018-2021,24,24,5,5,0,0,5,1 (1ct 0st),0.208,DC,2013-01-01,2025-03-01
J Botha,2013-2013,6,6,5,5,0,0,5,3 (3ct 0st),0.833,DC,2013-01-01,2025-03-01
NM Coulter-Nile,2014-2016,17,17,5,5,0,0,5,2 (2ct 0st),0.294,DC,2013-01-01,2025-03-01
KK Nair,2016-2017,28,28,5,5,0,0,5,1 (1ct 0st),0.178,DC,2013-01-01,2025-03-01
KMA Paul,2019-2019,8,8,5,5,0,0,5,2 (2ct 0st),0.625,DC,2013-01-01,2025-03-01
SE Rutherford,2019-2019,7,7,5,5,0,0,5,1 (1ct 0st),0.714,DC,2013-01-01,2025-03-01
PD Salt,2023-2023,9,9,5,5,0,5,0,2 (2ct 0st),0.555,DC,2013-01-01,2025-03-01
V Sehwag,2013-2013,13,13,5,5,0,0,5,3 (3ct 0st),0.384,DC,2013-01-01,2025-03-01
MP Stoinis,2020-2021,27,27,5,5,0,0,5,1 (1ct 0st),0.185,DC,2013-01-01,2025-03-01
SS Tiwary,2015-2015,7,7,5,5,0,0,5,2 (2ct 0st),0.714,DC,2013-01-01,2025-03-01
UT Yadav,2013-2013,16,16,5,5,0,0,5,1 (1ct 0st),0.312,DC,2013-01-01,2025-03-01
MA Agarwal,2014-2016,21,21,4,4,0,0,4,1 (1ct 0st),0.19,DC,2013-01-01,2025-03-01
UBT Chand,2013-2013,9,9,4,4,0,0,4,2 (2ct 0st),0.444,DC,2013-01-01,2025-03-01
DPMD Jayawardene,2013-2013,15,15,4,4,0,0,4,2 (2ct 0st),0.266,DC,2013-01-01,2025-03-01
SN Khan,2022-2023,10,10,4,4,0,2,2,2 (2ct 0st),0.4,DC,2013-01-01,2025-03-01
MS Dhoni,2013-2024,166,166,127,106,21,106,0,4 (4ct 0st),0.765,CSK,2013-01-01,2025-03-01
RA Jadeja,2013-2024,163,163,86,86,0,0,86,4 (4ct 0st),0.527,CSK,2013-01-01,2025-03-01
F du Plessis,2014-2021,83,83,61,61,0,0,61,4 (4ct 0st),0.734,CSK,2013-01-01,2025-03-01
SK Raina,2013-2021,105,105,59,59,0,0,59,3 (3ct 0st),0.561,CSK,2013-01-01,2025-03-01
DJ Bravo,2013-2022,101,101,51,51,0,0,51,3 (3ct 0st),0.504,CSK,2013-01-01,2025-03-01
RD Gaikwad,2020-2024,66,66,36,36,0,0,36,2 (2ct 0st),0.545,CSK,2013-01-01,2025-03-01
AT Rayudu,2018-2023,90,90,19,19,0,1,18,2 (2ct 0st),0.211,CSK,2013-01-01,2025-03-01
MM Ali,2021-2024,48,48,18,18,0,0,18,3 (3ct 0st),0.375,CSK,2013-01-01,2025-03-01
SN Thakur,2018-2024,57,57,17,17,0,0,17,2 (2ct 0st),0.298,CSK,2013-01-01,2025-03-01
DR Smith,2014-2015,37,37,15,15,0,0,15,2 (2ct 0st),0.405,CSK,2013-01-01,2025-03-01
S Dube,2022-2024,41,41,14,14,0,0,14,2 (2ct 0st),0.341,CSK,2013-01-01,2025-03-01
MM Sharma,2013-2019,58,58,14,14,0,0,14,2 (2ct 0st),0.241,CSK,2013-01-01,2025-03-01
R Ashwin,2013-2015,58,58,12,12,0,0,12,2 (2ct 0st),0.206,CSK,2013-01-01,2025-03-01
DL Chahar,2018-2024,76,76,12,12,0,0,12,2 (2ct 0st),0.157,CSK,2013-01-01,2025-03-01
MEK Hussey,2013-2015,26,26,12,12,0,0,12,2 (2ct 0st),0.461,CSK,2013-01-01,2025-03-01
BB McCullum,2014-2015,33,33,12,12,0,0,12,2 (2ct 0st),0.363,CSK,2013-01-01,2025-03-01
M Vijay,2013-2020,26,26,11,11,0,0,11,2 (2ct 0st),0.423,CSK,2013-01-01,2025-03-01
SR Watson,2018-2020,43,43,11,11,0,0,11,2 (2ct 0st),0.255,CSK,2013-01-01,2025-03-01
DJ Mitchell,2024-2024,13,13,9,9,0,0,9,5 (5ct 0st),0.692,CSK,2013-01-01,2025-03-01
AM Rahane,2023-2024,27,27,9,9,0,0,9,2 (2ct 0st),0.333,CSK,2013-01-01,2025-03-01
DP Conway,2022-2023,23,23,8,8,0,0,8,2 (2ct 0st),0.347,CSK,2013-01-01,2025-03-01
SM Curran,2020-2021,23,23,8,8,0,0,8,2 (2ct 0st),0.347,CSK,2013-01-01,2025-03-01
Harbhajan Singh,2018-2019,24,24,8,8,0,0,8,2 (2ct 0st),0.333,CSK,2013-01-01,2025-03-01
JO Holder,2013-2013,11,11,8,8,0,0,8,2 (2ct 0st),0.727,CSK,2013-01-01,2025-03-01
Imran Tahir,2018-2021,27,27,8,8,0,0,8,2 (2ct 0st),0.296,CSK,2013-01-01,2025-03-01
R Ravindra,2024-2024,10,10,8,8,0,0,8,3 (3ct 0st),0.8,CSK,2013-01-01,2025-03-01
SW Billings,2018-2019,11,11,6,6,0,1,5,2 (2ct 0st),0.545,CSK,2013-01-01,2025-03-01
IC Pandey,2014-2015,25,25,6,6,0,0,6,1 (1ct 0st),0.24,CSK,2013-01-01,2025-03-01
M Pathirana,2022-2024,20,20,6,6,0,0,6,1 (1ct 0st),0.3,CSK,2013-01-01,2025-03-01
MJ Santner,2019-2024,18,18,6,6,0,0,6,1 (1ct 0st),0.333,CSK,2013-01-01,2025-03-01
TU Deshpande,2022-2024,31,31,5,5,0,0,5,1 (1ct 0st),0.161,CSK,2013-01-01,2025-03-01
KM Jadhav,2018-2020,23,23,5,5,0,0,5,1 (1ct 0st),0.217,CSK,2013-01-01,2025-03-01
CH Morris,2013-2013,17,17,5,5,0,0,5,2 (2ct 0st),0.294,CSK,2013-01-01,2025-03-01
P Negi,2014-2015,14,14,5,5,0,0,5,2 (2ct 0st),0.357,CSK,2013-01-01,2025-03-01
A Nehra,2014-2015,25,25,5,5,0,0,5,2 (2ct 0st),0.2,CSK,2013-01-01,2025-03-01
RV Uthappa,2021-2022,16,16,5,5,0,0,5,2 (2ct 0st),0.312,CSK,2013-01-01,2025-03-01
CJ Jordan,2022-2022,4,4,4,4,0,0,4,2 (2ct 0st),1.0,CSK,2013-01-01,2025-03-01
M Theekshana,2022-2024,27,27,4,4,0,0,4,1 (1ct 0st),0.148,CSK,2013-01-01,2025-03-01
S Badrinath,2013-2013,23,23,3,3,0,0,3,1 (1ct 0st),0.13,CSK,2013-01-01,2025-03-01
M Manhas,2014-2014,13,13,3,3,0,0,3,1 (1ct 0st),0.23,CSK,2013-01-01,2025-03-01
Mukesh Choudhary,2022-2024,14,14,3,3,0,0,3,1 (1ct 0st),0.214,CSK,2013-01-01,2025-03-01
DP Nannes,2013-2013,5,5,3,3,0,0,3,1 (1ct 0st),0.6,CSK,2013-01-01,2025-03-01
D Pretorius,2022-2023,7,7,3,3,0,0,3,1 (1ct 0st),0.428,CSK,2013-01-01,2025-03-01
KV Sharma,2018-2020,12,12,3,3,0,0,3,1 (1ct 0st),0.25,CSK,2013-01-01,2025-03-01
Simarjeet Singh,2022-2024,10,10,3,3,0,0,3,2 (2ct 0st),0.3,CSK,2013-01-01,2025-03-01
JA Morkel,2013-2013,12,12,2,2,0,0,2,1 (1ct 0st),0.166,CSK,2013-01-01,2025-03-01
L Ngidi,2018-2021,14,14,2,2,0,0,2,1 (1ct 0st),0.142,CSK,2013-01-01,2025-03-01
BA Stokes,2023-2023,2,2,2,2,0,0,2,2 (2ct 0st),1.0,CSK,2013-01-01,2025-03-01
DJ Willey,2018-2018,3,3,2,2,0,0,2,1 (1ct 0st),0.666,CSK,2013-01-01,2025-03-01
Akash Singh,2023-2023,6,6,1,1,0,0,1,1 (1ct 0st),0.166,CSK,2013-01-01,2025-03-01
SV Samson,2013-2024,146,145,96,80,16,64,16,4 (2ct 2st),0.662,RR,2013-01-01,2025-03-01
JC Buttler,2018-2024,83,83,48,47,1,16,31,3 (3ct 0st),0.578,RR,2013-01-01,2025-03-01
R Parag,2019-2024,70,69,37,37,0,0,37,4 (4ct 0st),0.536,RR,2013-01-01,2025-03-01
AM Rahane,2013-2019,80,80,28,28,0,0,28,2 (2ct 0st),0.35,RR,2013-01-01,2025-03-01
SPD Smith,2014-2020,50,50,21,21,0,0,21,2 (2ct 0st),0.42,RR,2013-01-01,2025-03-01
SO Hetmyer,2022-2024,41,41,18,18,0,0,18,2 (2ct 0st),0.439,RR,2013-01-01,2025-03-01
YBK Jaiswal,2020-2024,53,52,18,18,0,0,18,2 (2ct 0st),0.346,RR,2013-01-01,2025-03-01
BA Stokes,2018-2021,31,31,16,16,0,0,16,2 (2ct 0st),0.516,RR,2013-01-01,2025-03-01
STR Binny,2013-2019,64,64,15,15,0,0,15,2 (2ct 0st),0.234,RR,2013-01-01,2025-03-01
DS Kulkarni,2014-2019,37,37,13,13,0,0,13,2 (2ct 0st),0.351,RR,2013-01-01,2025-03-01
DC Jurel,2023-2024,28,27,12,12,0,0,12,3 (3ct 0st),0.444,RR,2013-01-01,2025-03-01
R Ashwin,2022-2024,45,44,11,11,0,0,11,2 (2ct 0st),0.25,RR,2013-01-01,2025-03-01
TA Boult,2022-2024,42,41,11,11,0,0,11,2 (2ct 0st),0.268,RR,2013-01-01,2025-03-01
KK Cooper,2013-2014,25,25,11,11,0,0,11,2 (2ct 0st),0.44,RR,2013-01-01,2025-03-01
JP Faulkner,2013-2015,48,48,11,11,0,0,11,2 (2ct 0st),0.229,RR,2013-01-01,2025-03-01
R Tewatia,2014-2021,32,32,11,11,0,0,11,2 (2ct 0st),0.343,RR,2013-01-01,2025-03-01
JD Unadkat,2018-2021,39,39,11,11,0,0,11,3 (3ct 0st),0.282,RR,2013-01-01,2025-03-01
SR Watson,2013-2015,45,45,11,11,0,0,11,2 (2ct 0st),0.244,RR,2013-01-01,2025-03-01
S Gopal,2018-2021,42,42,10,10,0,0,10,1 (1ct 0st),0.238,RR,2013-01-01,2025-03-01
K Gowtham,2018-2019,22,22,10,10,0,0,10,2 (2ct 0st),0.454,RR,2013-01-01,2025-03-01
DH Yagnik,2013-2014,15,15,10,8,2,8,0,3 (3ct 0st),0.666,RR,2013-01-01,2025-03-01
JC Archer,2018-2020,35,35,9,9,0,0,9,2 (2ct 0st),0.257,RR,2013-01-01,2025-03-01
BJ Hodge,2013-2014,26,26,9,9,0,0,9,1 (1ct 0st),0.346,RR,2013-01-01,2025-03-01
D Padikkal,2022-2023,28,28,9,9,0,0,9,1 (1ct 0st),0.321,RR,2013-01-01,2025-03-01
KK Nair,2014-2022,28,28,8,8,0,0,8,1 (1ct 0st),0.285,RR,2013-01-01,2025-03-01
H Klaasen,2018-2018,4,4,7,3,4,2,1,4 (1ct 3st),1.75,RR,2013-01-01,2025-03-01
LS Livingstone,2019-2021,9,9,7,7,0,0,7,2 (2ct 0st),0.777,RR,2013-01-01,2025-03-01
CH Morris,2015-2021,22,22,7,7,0,0,7,2 (2ct 0st),0.318,RR,2013-01-01,2025-03-01
R Powell,2024-2024,10,9,7,7,0,0,7,4 (4ct 0st),0.777,RR,2013-01-01,2025-03-01
Sandeep Sharma,2023-2024,23,22,7,7,0,0,7,1 (1ct 0st),0.318,RR,2013-01-01,2025-03-01
RA Tripathi,2018-2019,20,20,7,7,0,0,7,2 (2ct 0st),0.35,RR,2013-01-01,2025-03-01
YS Chahal,2022-2024,46,46,6,6,0,0,6,3 (3ct 0st),0.13,RR,2013-01-01,2025-03-01
TG Southee,2014-2015,10,10,6,6,0,0,6,2 (2ct 0st),0.6,RR,2013-01-01,2025-03-01
R Bhatia,2014-2015,14,14,5,5,0,0,5,1 (1ct 0st),0.357,RR,2013-01-01,2025-03-01
A Chandila,2013-2013,8,8,4,4,0,0,4,1 (1ct 0st),0.5,RR,2013-01-01,2025-03-01
R Dravid,2013-2013,24,24,4,4,0,0,4,1 (1ct 0st),0.166,RR,2013-01-01,2025-03-01
DA Miller,2020-2021,10,10,4,4,0,0,4,1 (1ct 0st),0.4,RR,2013-01-01,2025-03-01
C Sakariya,2021-2021,14,14,4,4,0,0,4,1 (1ct 0st),0.285,RR,2013-01-01,2025-03-01
KR Sen,2022-2024,12,12,4,4,0,0,4,2 (2ct 0st),0.333,RR,2013-01-01,2025-03-01
PV Tambe,2013-2015,31,31,4,4,0,0,4,1 (1ct 0st),0.129,RR,2013-01-01,2025-03-01
SK Trivedi,2013-2013,17,17,4,4,0,0,4,1 (1ct 0st),0.235,RR,2013-01-01,2025-03-01
Anuj Rawat,2021-2021,2,2,3,3,0,0,3,3 (3ct 0st),1.5,RR,2013-01-01,2025-03-01
JO Holder,2023-2023,8,8,3,3,0,0,3,1 (1ct 0st),0.375,RR,2013-01-01,2025-03-01
Kartik Tyagi,2020-2021,14,14,3,3,0,0,3,2 (2ct 0st),0.214,RR,2013-01-01,2025-03-01
KW Richardson,2014-2014,7,7,3,3,0,0,3,3 (3ct 0st),0.428,RR,2013-01-01,2025-03-01
R Shukla,2013-2013,7,7,3,3,0,0,3,2 (2ct 0st),0.428,RR,2013-01-01,2025-03-01
RV Uthappa,2020-2020,12,12,3,3,0,0,3,1 (1ct 0st),0.25,RR,2013-01-01,2025-03-01
Ankit Sharma,2014-2018,8,8,2,2,0,0,2,1 (1ct 0st),0.25,RR,2013-01-01,2025-03-01
Avesh Khan,2024-2024,16,15,2,2,0,0,2,1 (1ct 0st),0.133,RR,2013-01-01,2025-03-01
N Burger,2024-2024,6,5,2,2,0,0,2,1 (1ct 0st),0.4,RR,2013-01-01,2025-03-01
RV Uthappa,2014-2019,91,91,62,37,25,27,10,3 (3ct 0st),0.681,KKR,2013-01-01,2025-03-01
KD Karthik,2018-2021,61,61,41,35,6,35,0,4 (4ct 0st),0.672,KKR,2013-01-01,2025-03-01
AD Russell,2014-2024,126,125,37,37,0,0,37,2 (2ct 0st),0.296,KKR,2013-01-01,2025-03-01
SP Narine,2013-2024,167,166,33,33,0,0,33,2 (2ct 0st),0.198,KKR,2013-01-01,2025-03-01
RK Singh,2018-2024,46,45,29,29,0,0,29,4 (4ct 0st),0.644,KKR,2013-01-01,2025-03-01
SA Yadav,2014-2017,60,60,28,28,0,0,28,2 (2ct 0st),0.466,KKR,2013-01-01,2025-03-01
MK Pandey,2014-2024,61,61,26,26,0,0,26,3 (3ct 0st),0.426,KKR,2013-01-01,2025-03-01
Shubman Gill,2018-2021,58,58,23,23,0,0,23,2 (2ct 0st),0.396,KKR,2013-01-01,2025-03-01
PP Chawla,2014-2019,76,76,20,20,0,0,20,2 (2ct 0st),0.263,KKR,2013-01-01,2025-03-01
N Rana,2018-2024,90,90,20,20,0,0,20,2 (2ct 0st),0.222,KKR,2013-01-01,2025-03-01
UT Yadav,2014-2023,68,68,20,20,0,0,20,2 (2ct 0st),0.294,KKR,2013-01-01,2025-03-01
G Gambhir,2013-2017,82,82,19,19,0,0,19,2 (2ct 0st),0.231,KKR,2013-01-01,2025-03-01
VR Iyer,2021-2024,51,50,18,18,0,0,18,2 (2ct 0st),0.36,KKR,2013-01-01,2025-03-01
EJG Morgan,2013-2021,45,45,18,18,0,0,18,3 (3ct 0st),0.4,KKR,2013-01-01,2025-03-01
YK Pathan,2013-2017,80,80,17,17,0,0,17,2 (2ct 0st),0.212,KKR,2013-01-01,2025-03-01
Shivam Mavi,2018-2022,32,32,16,16,0,0,16,2 (2ct 0st),0.5,KKR,2013-01-01,2025-03-01
SS Iyer,2022-2024,29,28,15,15,0,0,15,2 (2ct 0st),0.535,KKR,2013-01-01,2025-03-01
Rahmanullah Gurbaz,2023-2024,14,13,15,15,0,15,0,4 (4ct 0st),1.153,KKR,2013-01-01,2025-03-01
CV Varun,2020-2024,70,69,14,14,0,0,14,2 (2ct 0st),0.202,KKR,2013-01-01,2025-03-01
MS Bisla,2013-2014,17,17,13,9,4,9,0,2 (2ct 0st),0.764,KKR,2013-01-01,2025-03-01
Kuldeep Yadav,2014-2020,50,50,12,12,0,0,12,1 (1ct 0st),0.24,KKR,2013-01-01,2025-03-01
PD Salt,2024-2024,12,12,12,12,0,12,0,3 (3ct 0st),1.0,KKR,2013-01-01,2025-03-01
RA Tripathi,2020-2021,28,28,11,11,0,0,11,3 (3ct 0st),0.392,KKR,2013-01-01,2025-03-01
Shakib Al Hasan,2014-2021,36,36,10,10,0,0,10,2 (2ct 0st),0.277,KKR,2013-01-01,2025-03-01
MK Tiwary,2013-2013,10,10,10,10,0,0,10,3 (3ct 0st),1.0,KKR,2013-01-01,2025-03-01
SP Jackson,2017-2022,9,9,9,7,2,7,0,4 (3ct 1st),1.0,KKR,2013-01-01,2025-03-01
CA Lynn,2014-2019,40,40,9,9,0,0,9,2 (2ct 0st),0.225,KKR,2013-01-01,2025-03-01
Ramandeep Singh,2024-2024,15,14,8,8,0,0,8,2 (2ct 0st),0.571,KKR,2013-01-01,2025-03-01
SW Billings,2022-2022,8,8,7,6,1,6,0,3 (2ct 1st),0.875,KKR,2013-01-01,2025-03-01
PJ Cummins,2014-2022,33,33,7,7,0,0,7,2 (2ct 0st),0.212,KKR,2013-01-01,2025-03-01
M Morkel,2014-2016,29,29,7,7,0,0,7,2 (2ct 0st),0.241,KKR,2013-01-01,2025-03-01
M Prasidh Krishna,2018-2021,34,34,7,7,0,0,7,2 (2ct 0st),0.205,KKR,2013-01-01,2025-03-01
RN ten Doeschate,2013-2015,26,26,7,7,0,0,7,1 (1ct 0st),0.269,KKR,2013-01-01,2025-03-01
Harshit Rana,2022-2024,21,20,6,6,0,0,6,2 (2ct 0st),0.3,KKR,2013-01-01,2025-03-01
TG Southee,2021-2023,14,14,6,6,0,0,6,3 (3ct 0st),0.428,KKR,2013-01-01,2025-03-01
MA Starc,2024-2024,14,13,6,6,0,0,6,2 (2ct 0st),0.461,KKR,2013-01-01,2025-03-01
CR Woakes,2017-2017,13,13,6,6,0,0,6,2 (2ct 0st),0.461,KKR,2013-01-01,2025-03-01
JH Kallis,2013-2014,28,28,5,5,0,0,5,1 (1ct 0st),0.178,KKR,2013-01-01,2025-03-01
VG Arora,2023-2024,15,15,4,4,0,0,4,1 (1ct 0st),0.266,KKR,2013-01-01,2025-03-01
L Balaji,2013-2013,13,13,4,4,0,0,4,1 (1ct 0st),0.307,KKR,2013-01-01,2025-03-01
J Botha,2015-2015,4,4,4,4,0,0,4,2 (2ct 0st),1.0,KKR,2013-01-01,2025-03-01
KL Nagarkoti,2020-2021,11,11,4,4,0,0,4,2 (2ct 0st),0.363,KKR,2013-01-01,2025-03-01
A Raghuvanshi,2024-2024,10,10,4,4,0,0,4,2 (2ct 0st),0.4,KKR,2013-01-01,2025-03-01
JPR Scantlebury-Searles,2018-2018,4,4,4,4,0,0,4,2 (2ct 0st),1.0,KKR,2013-01-01,2025-03-01
SN Thakur,2023-2023,11,11,4,4,0,0,4,2 (2ct 0st),0.363,KKR,2013-01-01,2025-03-01
LH Ferguson,2019-2023,21,21,3,3,0,0,3,1 (1ct 0st),0.142,KKR,2013-01-01,2025-03-01
GB Hogg,2015-2016,11,11,3,3,0,0,3,1 (1ct 0st),0.272,KKR,2013-01-01,2025-03-01
AM Rahane,2022-2022,7,7,3,3,0,0,3,1 (1ct 0st),0.428,KKR,2013-01-01,2025-03-01
AS Roy,2022-2024,10,9,3,3,0,0,3,1 (1ct 0st),0.333,KKR,2013-01-01,2025-03-01
R Vinay Kumar,2014-2018,11,11,3,3,0,0,3,1 (1ct 0st),0.272,KKR,2013-01-01,2025-03-01
