Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Abhinav Manohar,50.32467532467533,50.29220779220779,53.40909090909091,6.5,BAT,GT
Abishek Porel,50.32467532467533,50.29220779220779,56.03896103896104,6.5,WK,DC
Adam Zampa,50.32467532467533,48.01948051948052,27.5974025974026,7.5,BOWL,RR
Ajinkya Rahane,50.32467532467533,50.29220779220779,59.253246753246756,7.5,BAT,CSK
Akash Deep,50.32467532467533,27.824675324675322,27.5974025974026,7.0,BOWL,RCB
Akash Madhwal,50.32467532467533,50.68181818181819,27.5974025974026,7.0,BOWL,MI
Akash Singh,50.32467532467533,29.740259740259738,32.142857142857146,6.0,BOWL,CSK
Andre Russell,50.32467532467533,66.55844155844156,70.45454545454545,8.5,ALL,KKR
Andre Siddharth,50.32467532467533,34.12337662337662,27.5974025974026,5.5,BAT,LSG
Angkrish Raghuvanshi,50.32467532467533,50.29220779220779,42.37012987012987,6.5,BAT,KKR
Anrich Nortje,50.32467532467533,63.279220779220786,55.35714285714286,8.0,BOWL,DC
Anshul Kamboj,50.32467532467533,50.29220779220779,38.47402597402598,6.0,BOWL,MI
Anuj Rawat,50.32467532467533,50.29220779220779,60.616883116883116,6.5,WK,RCB
Anukul Sudhakar Roy,50.32467532467533,33.246753246753244,38.47402597402598,6.0,ALL,KKR
Arshad Khan,50.32467532467533,21.363636363636363,33.116883116883116,5.5,ALL,LSG
Arshdeep Singh,50.32467532467533,62.824675324675326,57.95454545454545,8.5,BOWL,PBKS
Atharva Taide,50.32467532467533,50.29220779220779,44.8051948051948,6.5,BAT,PBKS
Avesh Khan,50.32467532467533,53.37662337662338,40.42207792207792,8.0,BOWL,DC
Axar Patel,50.32467532467533,70.25974025974025,69.96753246753246,9.0,ALL,DC
Ayush Badoni,50.32467532467533,41.33116883116883,60.064935064935064,7.0,BAT,LSG
Azmatullah Omarzai,50.32467532467533,31.818181818181817,27.5974025974026,7.5,ALL,GT
Chetan Sakariya,50.32467532467533,43.246753246753244,34.253246753246756,6.0,BOWL,DC
Darshan Nalkande,50.32467532467533,36.68831168831169,35.38961038961039,6.5,BOWL,GT
David Miller,50.32467532467533,50.29220779220779,67.6948051948052,8.0,BAT,GT
Deepak Chahar,50.32467532467533,69.83766233766234,57.95454545454545,8.0,BOWL,CSK
Deepak Hooda,50.32467532467533,38.896103896103895,62.175324675324674,7.0,BAT,LSG
Devdutt Padikkal,50.32467532467533,50.29220779220779,52.75974025974026,7.0,BAT,LSG
Devon Conway,50.32467532467533,50.29220779220779,50.48701298701299,8.0,WK,CSK
Dhruv Jurel,50.32467532467533,50.29220779220779,57.95454545454545,7.5,WK,RR
Dushmantha Chameera,50.32467532467533,38.116883116883116,35.38961038961039,7.0,BOWL,LSG
Faf du Plessis,50.32467532467533,50.29220779220779,70.94155844155844,8.5,BAT,CSK
Gerald Coetzee,50.32467532467533,41.94805194805195,27.5974025974026,7.0,BOWL,MI
Glenn Maxwell,50.32467532467533,46.36363636363637,61.201298701298704,8.5,ALL,DC
Hardik Pandya,50.32467532467533,53.50649350649351,68.99350649350649,9.0,ALL,GT
Harpreet Brar,50.32467532467533,57.3051948051948,60.064935064935064,6.5,BOWL,PBKS
Harshal Patel,50.32467532467533,59.80519480519481,43.993506493506494,8.0,BOWL,DC
Harshit Rana,50.32467532467533,56.65584415584415,46.42857142857143,8.0,BOWL,KKR
Heinrich Klaasen,50.32467532467533,50.29220779220779,62.62987012987013,9.0,WK,RCB
Ishan Kishan,50.32467532467533,50.29220779220779,97.53246753246754,8.0,WK,MI
Ishant Sharma,50.32467532467533,62.5,27.5974025974026,7.5,BOWL,DC
Jasprit Bumrah,50.32467532467533,78.01948051948052,63.14935064935065,9.0,BOWL,MI
Jayant Yadav,50.32467532467533,41.688311688311686,33.603896103896105,6.5,BOWL,DC
Jaydev Unadkat,50.32467532467533,42.922077922077925,33.92857142857143,7.0,BOWL,DC
Jitesh Sharma,50.32467532467533,50.29220779220779,92.1103896103896,7.5,WK,PBKS
Jofra Archer,50.32467532467533,74.48051948051948,53.40909090909091,8.0,BOWL,RR
Jos Buttler,50.32467532467533,50.29220779220779,91.36363636363636,9.0,WK,MI
Josh Hazlewood,50.32467532467533,58.311688311688314,27.5974025974026,8.5,BOWL,CSK
Kagiso Rabada,50.32467532467533,68.11688311688312,62.5,8.5,BOWL,DC
Kamlesh Nagarkoti,50.32467532467533,31.07142857142857,42.37012987012987,6.0,BOWL,KKR
Karn Sharma,50.32467532467533,49.285714285714285,41.07142857142857,6.5,BOWL,CSK
Karun Nair,50.32467532467533,50.29220779220779,49.51298701298701,7.0,BAT,DC
Khaleel Ahmed,50.32467532467533,61.201298701298704,27.5974025974026,7.5,BOWL,DC
Krunal Pandya,50.32467532467533,64.41558441558442,65.42207792207792,7.5,ALL,LSG
Kuldeep Sen,50.32467532467533,44.05844155844156,42.37012987012987,6.0,BOWL,RR
Kuldeep Yadav,50.32467532467533,66.55844155844156,55.68181818181818,8.5,BOWL,DC
Kulwant Khejroliya,50.32467532467533,23.603896103896105,27.5974025974026,6.0,BOWL,KKR
Kumar Kartikeya,50.32467532467533,45.09740259740259,27.5974025974026,6.0,BOWL,MI
Liam Livingstone,50.32467532467533,56.42857142857143,54.22077922077922,8.0,ALL,PBKS
Lockie Ferguson,50.32467532467533,42.92207792207792,37.175324675324674,7.5,BOWL,GT
Lokesh Rahul,50.32467532467533,50.29220779220779,91.81818181818181,9.0,WK,LSG
Lungi Ngidi,50.32467532467533,64.51298701298701,35.38961038961039,7.5,BOWL,CSK
MS Dhoni,50.32467532467533,50.29220779220779,99.8051948051948,7.0,WK,CSK
Maheesh Theekshana,50.32467532467533,60.22727272727273,42.37012987012987,7.5,BOWL,CSK
Mahipal Lomror,50.32467532467533,50.29220779220779,53.40909090909091,6.5,BAT,RCB
Manav Suthar,50.32467532467533,25.64935064935065,27.5974025974026,6.0,ALL,GT
Manimaran Siddharth,50.32467532467533,34.12337662337662,27.5974025974026,6.0,BOWL,LSG
Manish Pandey,50.32467532467533,50.29220779220779,61.85064935064935,7.0,BAT,KKR
Marcus Stoinis,50.32467532467533,43.31168831168831,49.188311688311686,8.0,ALL,DC
Matheesha Pathirana,50.32467532467533,70.94155844155844,46.42857142857143,8.5,BOWL,CSK
Mayank Markande,50.32467532467533,52.27272727272727,44.8051948051948,6.0,BOWL,MI
Mayank Yadav,50.32467532467533,56.72077922077922,32.142857142857146,7.5,BOWL,LSG
Mitchell Marsh,50.32467532467533,50.77922077922078,27.5974025974026,8.0,BAT,DC
Mitchell Santner,50.32467532467533,58.5064935064935,46.42857142857143,7.5,ALL,CSK
Mitchell Starc,50.32467532467533,57.922077922077925,56.006493506493506,8.5,BOWL,KKR
Moeen Ali,50.32467532467533,61.23376623376623,57.30519480519481,7.0,ALL,CSK
Mohammed Shami,50.32467532467533,53.896103896103895,40.746753246753244,8.5,BOWL,DC
Mohammed Siraj,50.32467532467533,63.76623376623377,68.01948051948051,8.0,BOWL,RCB
Mohit Sharma,50.32467532467533,63.57142857142857,56.65584415584416,7.5,BOWL,CSK
Mohsin Khan,50.32467532467533,61.49350649350649,35.38961038961039,7.0,BOWL,LSG
Mujeeb-ur-Rahman,50.32467532467533,50.77922077922078,27.5974025974026,7.0,BOWL,PBKS
Mukesh Choudhary,50.32467532467533,44.285714285714285,38.47402597402598,6.5,BOWL,CSK
Mukesh Kumar,50.32467532467533,45.324675324675326,46.42857142857143,7.0,BOWL,DC
Naman Dhir,50.32467532467533,50.29220779220779,38.47402597402598,6.5,ALL,MI
Nathan Ellis,50.32467532467533,52.33766233766234,27.5974025974026,7.0,BOWL,PBKS
Nehal Wadhera,50.32467532467533,50.29220779220779,46.42857142857143,7.5,BAT,MI
Nicholas Pooran,50.32467532467533,50.29220779220779,82.27272727272727,8.5,WK,LSG
Nitish Rana,50.32467532467533,56.81818181818183,58.92857142857143,7.5,ALL,KKR
Noor Ahmad,50.32467532467533,59.15584415584416,48.53896103896104,7.5,BOWL,GT
Nuwan Thushara,50.32467532467533,34.642857142857146,27.5974025974026,7.5,BOWL,MI
Pat Cummins,50.32467532467533,54.35064935064935,39.77272727272727,8.5,BOWL,DC
Philip Salt,50.32467532467533,50.29220779220779,61.201298701298704,8.5,WK,DC
Prabhsimran Singh,50.32467532467533,50.29220779220779,51.52597402597402,7.5,WK,PBKS
Prasidh Krishna,50.32467532467533,50.77922077922078,40.0974025974026,7.5,BOWL,KKR
Quinton de Kock,50.32467532467533,50.29220779220779,88.31168831168831,8.0,WK,DC
Rachin Ravindra,50.32467532467533,50.29220779220779,50.48701298701299,8.0,BAT,CSK
Rahmanullah Gurbaz,50.32467532467533,50.29220779220779,71.52597402597402,7.5,WK,KKR
Rahul Chahar,50.32467532467533,65.84415584415585,56.98051948051948,6.5,BOWL,MI
Rahul Tewatia,50.32467532467533,51.94805194805194,55.032467532467535,7.0,ALL,DC
Rahul Tripathi,50.32467532467533,50.29220779220779,54.22077922077922,7.5,BAT,KKR
Rajat Patidar,50.32467532467533,50.29220779220779,50.48701298701299,8.0,BAT,RCB
Rajvardhan Hangargekar,50.32467532467533,36.46103896103896,27.5974025974026,5.5,BOWL,CSK
Ramandeep Singh,50.32467532467533,53.01948051948052,43.66883116883117,7.5,ALL,KKR
Rashid-Khan,50.32467532467533,72.4025974025974,65.9090909090909,9.0,BOWL,GT
Rasikh Salam,50.32467532467533,33.961038961038966,27.5974025974026,6.5,BOWL,DC
Ravi Bishnoi,50.32467532467533,64.74025974025975,51.785714285714285,8.0,BOWL,LSG
Ravichandran Ashwin,50.32467532467533,63.37662337662337,54.70779220779221,8.0,ALL,CSK
Ravindra Jadeja,50.32467532467533,71.94805194805194,72.72727272727272,8.5,ALL,CSK
Ravisrinivasan Sai Kishore,50.32467532467533,54.87012987012987,44.8051948051948,7.0,BOWL,GT
Reece Topley,50.32467532467533,27.98701298701299,27.5974025974026,6.5,BOWL,RCB
Rinku Singh,50.32467532467533,50.29220779220779,68.34415584415584,7.5,BAT,KKR
Rishabh Pant,50.32467532467533,50.29220779220779,98.8961038961039,9.0,WK,DC
Riyan Parag,50.32467532467533,24.805194805194805,70.45454545454545,8.0,ALL,RR
Rohit Sharma,50.32467532467533,50.29220779220779,71.91558441558442,9.0,BAT,MI
Romario Shepherd,50.32467532467533,50.29220779220779,27.5974025974026,7.0,ALL,LSG
Rovman Powell,50.32467532467533,50.29220779220779,52.27272727272727,7.0,BAT,DC
Ruturaj Gaikwad,50.32467532467533,50.29220779220779,69.64285714285714,9.0,BAT,CSK
Sai Sudharsan,50.32467532467533,50.29220779220779,38.47402597402598,8.0,BAT,GT
Sam Curran,50.32467532467533,50.12987012987013,56.33116883116883,7.5,ALL,CSK
Sandeep Sharma,50.32467532467533,67.92207792207792,52.27272727272727,7.5,BOWL,PBKS
Sanju Samson,50.32467532467533,50.29220779220779,97.27272727272728,9.0,WK,DC
Shahbaz Ahmed,50.32467532467533,40.51948051948052,64.12337662337661,7.0,ALL,RCB
Shahrukh Khan,50.32467532467533,21.363636363636363,33.116883116883116,7.5,ALL,LSG
Shamar Joseph,50.32467532467533,26.233766233766236,27.5974025974026,6.5,BOWL,LSG
Shashank Singh,50.32467532467533,50.29220779220779,48.53896103896104,7.5,BAT,PBKS
Sherfane Rutherford,50.32467532467533,50.29220779220779,44.8051948051948,7.0,BAT,DC
Shimron Hetmyer,50.32467532467533,50.29220779220779,60.87662337662338,7.5,BAT,DC
Shivam Dube,50.32467532467533,18.96103896103896,60.064935064935064,8.0,BAT,CSK
Shreyas Gopal,50.32467532467533,59.155844155844164,47.56493506493507,6.5,BOWL,MI
Shreyas Iyer,50.32467532467533,50.29220779220779,66.3961038961039,8.5,BAT,DC
Shubman Gill,50.32467532467533,50.29220779220779,64.77272727272727,9.0,BAT,GT
Simarjeet- Singh,50.32467532467533,43.83116883116884,38.47402597402598,6.0,BOWL,CSK
Spencer Johnson,50.32467532467533,30.064935064935064,35.38961038961039,6.5,BOWL,GT
Sunil Narine,50.32467532467533,77.6948051948052,68.66883116883116,9.0,ALL,KKR
Suryakumar Yadav,50.32467532467533,50.29220779220779,69.31818181818181,9.0,BAT,KKR
Suyash Sharma,50.32467532467533,41.13636363636363,27.5974025974026,6.0,BOWL,KKR
Swapnil Singh,50.32467532467533,41.00649350649351,27.5974025974026,7.0,ALL,LSG
Tilak Varma,50.32467532467533,50.29220779220779,65.9090909090909,8.0,BAT,MI
Tim David,50.32467532467533,50.29220779220779,65.09740259740259,7.5,BAT,MI
Trent Boult,50.32467532467533,56.81818181818182,49.83766233766234,8.5,BOWL,DC
