Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Anrich Nortje,35.83388167860302,69.61329464621127,49.21772033785339,8.0,BOWL,KKR
Mohsin Khan,36.180702487851576,70.68843915488179,41.067431320512355,7.0,BOWL,LSG
Swapnil Singh,46.7549900650289,52.88692071090237,42.5400434529544,7.0,ALL,RCB
Arshad Khan,38.26469171483622,38.88158317276815,49.342324983943485,5.5,ALL,GT
Shahrukh Khan,38.26469171483622,38.88158317276815,49.342324983943485,7.5,ALL,GT
Abhinav Manohar,38.52850032113038,41.115606936416185,54.48964354527938,6.5,BAT,SRH
Sameer Rizvi,46.83405587668594,41.115606936416185,31.239804110468846,6.5,BAT,DC
Bhuvneshwar Kumar,36.02304110468851,74.16702793834297,45.11263648041105,8.0,BOWL,RCB
Wanindu Hasaranga,41.768344572896595,78.09132145150932,50.501204238921005,8.5,ALL,RR
Ravichandran Ashwin,46.828998073217726,68.25517822736032,56.79897238278741,8.0,ALL,CHE
Azmatullah Omarzai,47.137885356454724,45.186978163134235,29.3322896596018,7.5,ALL,PBKS
Arjun Tendulkar,38.435037747967186,53.55549117800318,33.43737351704414,5.0,BOWL,MI
Krunal Pandya,42.366209055876695,72.6875,56.01059730250481,7.5,ALL,RCB
Yudhvir Singh Charak,34.99570488118176,40.23033076429031,29.3322896596018,6.5,ALL,RR
Vishnu Vinod,59.22853857342551,41.16871151157959,40.383760247837095,6.5,WK,PBKS
Kuldeep Yadav,45.20291425818882,83.1437058445729,49.7080122029544,8.5,BOWL,DC
Rahul Chahar,41.11422849941226,71.25202296991068,55.89402091588807,6.5,BOWL,SRH
Umran Malik,41.79919959767817,68.71156054216502,49.21772033785339,6.0,BOWL,KKR
Mayank Markande,43.13445971328511,65.0699420450552,43.49517698525224,6.0,BOWL,KKR
Akash Deep,38.645993898522796,47.11737315350032,39.39009312780989,7.0,BOWL,LSG
Manish Pandey,54.177143545279385,41.115606936416185,37.82939948619139,7.0,BAT,KKR
Romario Shepherd,53.93418081647399,46.14125597101798,37.1643209096018,7.0,ALL,RCB
Jitesh Sharma,66.82923892100195,41.115606936416185,87.7917469492614,7.5,WK,RCB
Ravisrinivasan Sai Kishore,46.07373956326269,78.02007064868336,49.507707129094406,7.0,BOWL,GT
Washington Sundar,61.700425497752086,42.3728323699422,39.39009312780989,7.0,ALL,GT
Deepak Hooda,47.67264771997431,38.436416184971094,56.8776493256262,7.0,BAT,CHE
Shahbaz Ahmed,50.648322093770076,38.3493095696853,46.153098908156714,7.0,ALL,LSG
Avesh Khan,54.04564065510597,63.32205362877329,38.52304110468851,8.0,BOWL,LSG
Harpreet Brar,45.48417069594406,70.18554898147138,57.10789374825802,6.5,BOWL,PBKS
Tim David,66.45937700706487,41.115606936416185,61.85958574181117,7.5,BAT,RCB
Rishabh Pant,53.1411769428388,41.115606936416185,86.65109184328837,9.0,WK,LSG
Anuj Rawat,66.5898102497261,41.16871151157959,69.11786429407987,6.5,WK,GT
Marcus Stoinis,56.1860549132948,52.92734425176622,43.812058445728965,8.0,ALL,PBKS
Pat Cummins,64.8804190751445,61.628853564547214,63.38856775850995,8.5,BOWL,SRH
Karn Sharma,47.877234279759094,60.39653164043092,49.21772033785339,6.5,BOWL,MI
Devdutt Padikkal,67.06434649967886,41.115606936416185,46.67333012202955,7.0,BAT,RCB
Tristan Stubbs,68.42473506743738,36.715398201669885,57.581326268465006,8.0,BAT,DC
