Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Bowler Type,Team
Jake Fraser-McGurk,60.709909469568174,35.55780346820809,58.42829819789188,7.5,BAT,-,DC
Jamie Overton,56.532598039215685,56.96008578431372,53.72124019607843,6.5,ALL,-,CHE
Jasprit Bumrah,20.463150289017342,56.881587895273725,48.73229768786126,9.0,BOWL,-,MI
Jayant Yadav,20.447647067157362,63.50463173623751,39.535672973711755,6.5,BOWL,-,GT
Jaydev Unadkat,21.876445086705203,44.71480788847332,30.366308228493708,7.0,BOWL,-,SRH
Jitesh Sharma,66.70812436246175,35.55780346820809,86.31090615436926,7.5,WK,-,RCB
Jofra Archer,44.1339999149949,59.06449761985719,41.83923410404624,8.0,BOWL,-,RR
Jos Buttler,82.32924600476028,35.55780346820809,65.51757480448828,9.0,WK,-,GT
Josh Hazlewood,18.477601156069365,85.13746387283237,32.31717528051683,8.5,BOWL,-,RCB
Josh Inglis,72.37953431372549,35.58645098039216,68.52705882352942,7.5,WK,-,PBKS
K Nitish Reddy,64.91256162869772,30.615606936416185,55.49912869772187,8.0,ALL,-,SRH
KL Shrijith,72.37953431372549,35.58645098039216,68.52705882352942,6.0,WK,-,MI
Kagiso Rabada,42.01220885753145,62.62146166269976,35.87208857531452,8.5,BOWL,-,GT
Kamindu Mendis,65.9892463235294,34.62382720588235,53.05340073529412,7.0,BAT,-,SRH
Kamlesh Nagarkoti,25.292768454440598,68.18464907727798,39.45593886966551,6.0,BOWL,-,CHE
Karim Janat,56.532598039215685,56.96008578431372,53.72124019607843,6.0,ALL,-,GT
Karn Sharma,36.39706903247528,66.32688607149763,45.474979332093255,6.5,BOWL,-,MI
Karun Nair,65.9892463235294,34.62382720588235,53.05340073529412,7.0,BAT,-,DC
Khaleel Ahmed,12.351878612716764,85.25434588575315,33.22757990479429,7.5,BOWL,-,CHE
Krunal Pandya,41.88592315538933,76.46507352941177,49.859465317919074,7.5,ALL,-,RCB
Kuldeep Sen,20.447647067157362,66.97283982872307,43.65417008353835,6.0,BOWL,-,PBKS
Kuldeep Yadav,39.706849285957155,89.72238396803807,40.554169500170005,8.5,BOWL,-,DC
Kulwant Khejroliya,12.351878612716764,54.2342528051683,39.88836705202312,6.0,BOWL,-,GT
Kumar Kartikeya,29.133585515130907,59.72339340360422,32.31717528051683,6.0,BOWL,-,RR
Kumar Kushagra,59.92433200158675,35.58525444860025,57.398792927575656,5.5,WK,-,GT
Kunal Singh Rathore,72.37953431372549,35.58645098039216,68.52705882352942,5.0,WK,-,RR
Kwena Maphaka,20.447647067157362,57.78642364375196,37.584805921688634,6.0,BOWL,-,RR
Liam Livingstone,69.47946064263854,69.30452014620877,60.29246004760286,8.0,ALL,-,RCB
Lockie Ferguson,49.922114076844615,73.79858041482488,36.088851581094865,7.5,BOWL,-,PBKS
Lokesh Rahul,87.37476623597416,35.55780346820809,81.56247874872493,9.0,WK,-,DC
Lungi Ngidi,25.292768454440598,69.68464907727798,39.45593886966551,7.5,BOWL,-,RCB
Luvnith Sisodia,72.37953431372549,35.58645098039216,68.52705882352942,5.5,WK,-,KKR
MS Dhoni,70.55792885073105,35.55780346820809,87.10551258075485,7.0,WK,-,CHE
Madhav Tiwari,56.532598039215685,56.96008578431372,53.72124019607843,5.0,ALL,-,DC
Maheesh Theekshana,28.058547262835766,70.62131290377422,33.70445851751105,7.5,BOWL,-,RR
Mahipal Lomror,70.12508447381842,29.909786743454603,54.24212905899354,6.5,BAT,-,GT
Manav Suthar,43.89531480222146,47.156675379689446,45.52010724810155,6.0,ALL,-,GT
Manimaran Siddharth,12.351878612716764,61.988800578034684,41.83923410404624,6.0,BOWL,-,LSG
Manish Pandey,51.91148843930637,35.55780346820809,34.614863141788504,7.0,BAT,-,KKR
Manoj Bhandage,56.532598039215685,56.96008578431372,53.72124019607843,6.5,ALL,-,RCB
Manvanth Kumar L,56.532598039215685,56.96008578431372,53.72124019607843,5.5,ALL,-,DC
Marco Jansen,50.99951122067324,65.64379675280516,47.128251445086704,8.0,ALL,-,PBKS
Marcus Stoinis,62.87611569194152,43.73287147228834,37.60619262155729,8.0,ALL,-,PBKS
Matheesha Pathirana,12.351878612716764,79.53272696361782,55.49912869772187,8.5,BOWL,-,CHE
Matthew Breetzke,65.9892463235294,34.62382720588235,53.05340073529412,6.5,BAT,-,LSG
