Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,Start Date,End Date
N Rana,2018-2019,29,26.0,3.0,648.0,85.0,28.17,467.0,138.75,0.0,4.0,1.0,53.0,35.0,KKR,2015-01-01,2020-02-01
Shubman Gill,2018-2019,27,24.0,9.0,499.0,76.0,33.26,377.0,132.36,0.0,4.0,0.0,43.0,15.0,KKR,2015-01-01,2020-02-01
SA Yadav,2015-2017,38,31.0,9.0,444.0,60.0,20.18,344.0,129.06,0.0,1.0,1.0,38.0,16.0,KKR,2015-01-01,2020-02-01
PP Chawla,2015-2019,59,24.0,9.0,152.0,22.0,10.13,150.0,101.33,0.0,0.0,3.0,14.0,5.0,KKR,2015-01-01,2020-02-01
Shakib Al Hasan,2015-2017,15,11.0,3.0,151.0,66.0,18.87,134.0,112.68,0.0,1.0,1.0,12.0,5.0,KKR,2015-01-01,2020-02-01
C de Grandhomme,2017-2017,12,9.0,1.0,126.0,36.0,15.75,92.0,136.95,0.0,0.0,3.0,10.0,6.0,KKR,2015-01-01,2020-02-01
RK Singh,2018-2019,9,7.0,1.0,66.0,30.0,11.0,65.0,101.53,0.0,0.0,0.0,5.0,2.0,KKR,2015-01-01,2020-02-01
RN ten Doeschate,2015-2015,6,5.0,2.0,61.0,38.0,20.33,45.0,135.55,0.0,0.0,1.0,4.0,3.0,KKR,2015-01-01,2020-02-01
UT Yadav,2015-2017,35,10.0,8.0,48.0,24.0,24.0,32.0,150.0,0.0,0.0,1.0,5.0,2.0,KKR,2015-01-01,2020-02-01
CR Woakes,2017-2017,13,7.0,3.0,46.0,18.0,11.5,47.0,97.87,0.0,0.0,0.0,4.0,1.0,KKR,2015-01-01,2020-02-01
Kuldeep Yadav,2016-2019,40,9.0,4.0,44.0,16.0,8.8,54.0,81.48,0.0,0.0,2.0,4.0,0.0,KKR,2015-01-01,2020-02-01
SP Jackson,2017-2017,4,3.0,1.0,38.0,16.0,19.0,31.0,122.58,0.0,0.0,0.0,5.0,0.0,KKR,2015-01-01,2020-02-01
IR Jaggi,2017-2017,2,2.0,1.0,33.0,28.0,33.0,39.0,84.61,0.0,0.0,0.0,3.0,0.0,KKR,2015-01-01,2020-02-01
J Botha,2015-2015,4,3.0,0.0,31.0,17.0,10.33,15.0,206.66,0.0,0.0,0.0,5.0,1.0,KKR,2015-01-01,2020-02-01
C Munro,2016-2016,4,3.0,0.0,30.0,16.0,10.0,30.0,100.0,0.0,0.0,0.0,3.0,0.0,KKR,2015-01-01,2020-02-01
R Sathish,2016-2016,4,3.0,0.0,24.0,10.0,8.0,24.0,100.0,0.0,0.0,0.0,1.0,1.0,KKR,2015-01-01,2020-02-01
TK Curran,2018-2018,5,4.0,1.0,23.0,18.0,7.66,28.0,82.14,0.0,0.0,0.0,3.0,0.0,KKR,2015-01-01,2020-02-01
JO Holder,2016-2016,4,4.0,0.0,22.0,13.0,5.5,19.0,115.78,0.0,0.0,1.0,2.0,1.0,KKR,2015-01-01,2020-02-01
MG Johnson,2018-2018,6,2.0,2.0,16.0,12.0,,11.0,145.45,0.0,0.0,0.0,2.0,0.0,KKR,2015-01-01,2020-02-01
NM Coulter-Nile,2017-2017,8,3.0,0.0,14.0,6.0,4.66,12.0,116.66,0.0,0.0,0.0,0.0,2.0,KKR,2015-01-01,2020-02-01
Shivam Mavi,2018-2018,9,4.0,1.0,13.0,7.0,4.33,15.0,86.66,0.0,0.0,1.0,1.0,0.0,KKR,2015-01-01,2020-02-01
CR Brathwaite,2019-2019,2,2.0,0.0,11.0,6.0,5.5,10.0,110.0,0.0,0.0,0.0,1.0,0.0,KKR,2015-01-01,2020-02-01
KC Cariappa,2015-2019,2,1.0,1.0,9.0,9.0,,3.0,300.0,0.0,0.0,0.0,0.0,1.0,KKR,2015-01-01,2020-02-01
JPR Scantlebury-Searles,2018-2018,4,2.0,1.0,8.0,6.0,8.0,6.0,133.33,0.0,0.0,0.0,0.0,1.0,KKR,2015-01-01,2020-02-01
GB Hogg,2015-2016,11,3.0,2.0,7.0,5.0,7.0,6.0,116.66,0.0,0.0,0.0,0.0,0.0,KKR,2015-01-01,2020-02-01
NS Naik,2019-2019,1,1.0,0.0,7.0,7.0,7.0,16.0,43.75,0.0,0.0,0.0,1.0,0.0,KKR,2015-01-01,2020-02-01
Azhar Mahmood,2015-2015,1,1.0,0.0,6.0,6.0,6.0,7.0,85.71,0.0,0.0,0.0,1.0,0.0,KKR,2015-01-01,2020-02-01
DM Bravo,2017-2017,1,1.0,1.0,6.0,6.0,,5.0,120.0,0.0,0.0,0.0,1.0,0.0,KKR,2015-01-01,2020-02-01
R Vinay Kumar,2018-2018,2,1.0,1.0,6.0,6.0,,3.0,200.0,0.0,0.0,0.0,1.0,0.0,KKR,2015-01-01,2020-02-01
TA Boult,2017-2017,6,1.0,1.0,5.0,5.0,,8.0,62.5,0.0,0.0,0.0,0.0,0.0,KKR,2015-01-01,2020-02-01
M Morkel,2015-2016,17,3.0,3.0,5.0,4.0,,4.0,125.0,0.0,0.0,0.0,0.0,0.0,KKR,2015-01-01,2020-02-01
AS Rajpoot,2016-2017,9,1.0,0.0,4.0,4.0,4.0,7.0,57.14,0.0,0.0,0.0,1.0,0.0,KKR,2015-01-01,2020-02-01
HF Gurney,2019-2019,8,1.0,1.0,1.0,1.0,,5.0,20.0,0.0,0.0,0.0,0.0,0.0,KKR,2015-01-01,2020-02-01
M Prasidh Krishna,2018-2019,18,3.0,2.0,1.0,1.0,1.0,7.0,14.28,0.0,0.0,1.0,0.0,0.0,KKR,2015-01-01,2020-02-01
PJ Cummins,2015-2015,3,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,KKR,2015-01-01,2020-02-01
JL Denly,2019-2019,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,KKR,2015-01-01,2020-02-01
Y Prithvi Raj,2019-2019,2,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,KKR,2015-01-01,2020-02-01
LH Ferguson,2019-2019,5,,,,,,,,,,,,,KKR,2015-01-01,2020-02-01
JW Hastings,2016-2016,2,,,,,,,,,,,,,KKR,2015-01-01,2020-02-01
S Sandeep Warrier,2019-2019,3,,,,,,,,,,,,,KKR,2015-01-01,2020-02-01
JD Unadkat,2016-2016,1,,,,,,,,,,,,,KKR,2015-01-01,2020-02-01
