Team,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Span,Start Date,End Date
PBKS,Harpreet Brar,1,1.0,2.0,0.0,25.0,2.0,2/25,12.5,12.5,6.0,0.0,0.0,2025-2025,,
PBKS,Yash Thakur,2,2.0,6.3,0.0,79.0,1.0,1/39,79.0,12.15,39.0,0.0,0.0,2025-2025,,
PBKS,Azmatullah Omarzai,1,1.0,2.0,0.0,29.0,0.0,,,14.5,,0.0,0.0,2025-2025,,
PBKS,Shashank Singh,7,1.0,2.0,0.0,27.0,0.0,,,13.5,,0.0,0.0,2025-2025,,
PBKS,MP Stoinis,6,5.0,9.4,0.0,110.0,0.0,,,11.37,,0.0,0.0,2025-2025,,
PBKS,V Vyshak,1,1.0,3.0,0.0,28.0,0.0,,,9.33,,0.0,0.0,2025-2025,,
PBKS,P Arya,7,,,,,,,,,,,,2025-2025,,
PBKS,JP Inglis,2,,,,,,,,,,,,2025-2025,,
PBKS,SS Iyer,7,,,,,,,,,,,,2025-2025,,
PBKS,Prabhsimran Singh,7,,,,,,,,,,,,2025-2025,,
PBKS,Suryansh Shedge,4,,,,,,,,,,,,2025-2025,,
PBKS,N Wadhera,6,,,,,,,,,,,,2025-2025,,
DC,Kuldeep Yadav,7,7.0,28.0,0.0,175.0,12.0,3/22,14.58,6.25,14.0,0.0,0.0,2025-2025,,
DC,MA Starc,7,7.0,25.0,0.0,267.0,10.0,5/35,26.7,10.68,15.0,0.0,1.0,2025-2025,,
DC,V Nigam,7,7.0,21.0,0.0,189.0,7.0,2/18,27.0,9.0,18.0,0.0,0.0,2025-2025,,
DC,Mukesh Kumar,7,7.0,22.0,1.0,210.0,5.0,1/22,42.0,9.54,26.4,0.0,0.0,2025-2025,,
DC,MM Sharma,7,7.0,21.0,0.0,210.0,2.0,1/10,105.0,10.0,63.0,0.0,0.0,2025-2025,,
DC,AR Patel,7,7.0,19.0,0.0,178.0,1.0,1/23,178.0,9.36,114.0,0.0,0.0,2025-2025,,
