Player,Batting Form,Bowling Form,Credits,Player Type,Team
Nitish Rana,81.47810674638875,35.911160714285714,7.5,ALL,RR
Shimron Hetmyer,74.0800523607451,30.0,7.5,BAT,RR
Sandeep Sharma,30.835265595434294,58.729017857142864,7.5,BOWL,RR
Sanju Samson,78.58637618793607,30.0,9.0,WK,RR
Aniket Verma,82.30687099183538,30.0,5.0,BAT,SRH
Eshan Malinga,39.65,58.757366071428564,6.0,BOWL,SRH
K Nitish Reddy,55.937705923292704,30.0,8.0,ALL,SRH
Abhinav Manohar,21.188213537063866,30.0,6.5,BAT,SRH
Atharva Taide,41.762160326086956,30.50828804347826,6.5,BAT,SRH
Simarjeet- Singh,19.058232316472008,34.177232142857136,6.0,BOWL,SRH
Rahul Chahar,39.65,35.911160714285714,6.5,BOWL,SRH
Abhishek Sharma,90.2292264698428,25.974999999999998,8.5,ALL,SRH
Kamindu Mendis,42.23678288436582,57.984151785714275,7.0,BAT,SRH
Wiaan Mulder,37.54508272058824,37.865624999999994,7.0,ALL,SRH
Zeeshan Ansari,39.65,53.94665178571429,5.5,BOWL,SRH
Ishan Kishan,76.11280135045209,17.757142857142856,8.0,WK,SRH
Heinrich Klaasen,82.41522856241491,30.0,9.0,WK,SRH
Sachin Baby,41.762160326086956,30.50828804347826,6.5,BAT,SRH
Travis Head,87.66179845923266,30.0,9.0,BAT,SRH
Adam Zampa,39.65,38.80245535714286,7.5,BOWL,SRH
Harshal Patel,29.22263771648899,74.3703125,8.0,BOWL,SRH
Pat Cummins,63.72654019095218,61.69709821428572,8.5,BOWL,SRH
Mohammed Shami,31.358137071765803,50.95401785714286,8.5,BOWL,SRH
Jaydev Unadkat,39.65,39.77767857142857,7.0,BOWL,SRH
