Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
R Goyal,1,1,4.0,0,33,0,,,8.25,,0,0,,MI,2023-05-01,2023-06-01
HR Shokeen,2,2,4.0,0,38,0,,,9.5,,0,0,,MI,2023-05-01,2023-06-01
TH David,8,,,,,,,,,,,,,MI,2023-05-01,2023-06-01
Ishan Kishan,8,,,,,,,,,,,,,MI,2023-05-01,2023-06-01
RG Sharma,8,,,,,,,,,,,,,MI,2023-05-01,2023-06-01
NT Tilak Varma,3,,,,,,,,,,,,,MI,2023-05-01,2023-06-01
Vishnu Vinod,3,,,,,,,,,,,,,MI,2023-05-01,2023-06-01
N Wadhera,8,,,,,,,,,,,,,MI,2023-05-01,2023-06-01
SA Yadav,8,,,,,,,,,,,,,MI,2023-05-01,2023-06-01
Yash Thakur,6,6,21.0,0,193,8,3/34,24.12,9.19,15.7,0,0,,LSG,2023-05-01,2023-06-01
Naveen-ul-Haq,5,4,16.0,0,151,7,4/38,21.57,9.43,13.7,1,0,,LSG,2023-05-01,2023-06-01
Ravi Bishnoi,7,6,20.0,0,144,6,2/21,24.0,7.2,20.0,0,0,,LSG,2023-05-01,2023-06-01
A Mishra,2,2,7.0,0,61,3,2/21,20.33,8.71,14.0,0,0,,LSG,2023-05-01,2023-06-01
Mohsin Khan,5,4,10.0,0,107,3,1/24,35.66,10.7,20.0,0,0,,LSG,2023-05-01,2023-06-01
KH Pandya,7,6,24.0,0,178,3,2/24,59.33,7.41,48.0,0,0,,LSG,2023-05-01,2023-06-01
Avesh Khan,2,2,6.0,0,64,2,1/30,32.0,10.66,18.0,0,0,,LSG,2023-05-01,2023-06-01
K Gowtham,4,3,7.0,0,44,2,1/10,22.0,6.28,21.0,0,0,,LSG,2023-05-01,2023-06-01
Yudhvir Singh,1,1,3.0,0,24,1,1/24,24.0,8.0,18.0,0,0,,LSG,2023-05-01,2023-06-01
KR Mayers,5,2,2.0,0,27,0,,,13.5,,0,0,,LSG,2023-05-01,2023-06-01
MP Stoinis,7,2,2.0,0,31,0,,,15.5,,0,0,,LSG,2023-05-01,2023-06-01
Swapnil Singh,2,2,2.0,0,18,0,,,9.0,,0,0,,LSG,2023-05-01,2023-06-01
A Badoni,7,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
Q de Kock,4,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
DJ Hooda,4,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
PN Mankad,4,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
N Pooran,7,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
KL Rahul,1,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
KS Sharma,2,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
M Vohra,1,,,,,,,,,,,,,LSG,2023-05-01,2023-06-01
MM Sharma,9,9,30.1,0,269,21,5/10,12.8,8.91,8.6,2,1,,GT,2023-05-01,2023-06-01
Mohammed Shami,9,9,34.0,0,286,15,4/11,19.06,8.41,13.6,2,0,,GT,2023-05-01,2023-06-01
Rashid Khan,9,9,35.0,0,272,13,4/30,20.92,7.77,16.1,1,0,,GT,2023-05-01,2023-06-01
Noor Ahmad,9,9,32.5,0,264,8,2/17,33.0,8.04,24.6,0,0,,GT,2023-05-01,2023-06-01
JB Little,4,4,12.0,0,107,2,1/24,53.5,8.91,36.0,0,0,,GT,2023-05-01,2023-06-01
Yash Dayal,2,2,8.0,0,70,2,1/31,35.0,8.75,24.0,0,0,,GT,2023-05-01,2023-06-01
DG Nalkande,1,1,4.0,0,44,1,1/44,44.0,11.0,24.0,0,0,,GT,2023-05-01,2023-06-01
HH Pandya,9,5,9.0,0,107,1,1/22,107.0,11.88,54.0,0,0,,GT,2023-05-01,2023-06-01
AS Joseph,2,2,5.0,0,57,0,,,11.4,,0,0,,GT,2023-05-01,2023-06-01
R Tewatia,9,1,1.1,0,7,0,,,6.0,,0,0,,GT,2023-05-01,2023-06-01
A Manohar,4,,,,,,,,,,,,,GT,2023-05-01,2023-06-01
DA Miller,9,,,,,,,,,,,,,GT,2023-05-01,2023-06-01
WP Saha,9,,,,,,,,,,,,,GT,2023-05-01,2023-06-01
B Sai Sudharsan,3,,,,,,,,,,,,,GT,2023-05-01,2023-06-01
MD Shanaka,3,,,,,,,,,,,,,GT,2023-05-01,2023-06-01
V Shankar,8,,,,,,,,,,,,,GT,2023-05-01,2023-06-01
Shubman Gill,9,,,,,,,,,,,,,GT,2023-05-01,2023-06-01
KK Ahmed,6,6,23.0,2,202,6,2/24,33.66,8.78,23.0,0,0,,DC,2023-05-01,2023-06-01
I Sharma,5,5,15.0,0,138,6,2/23,23.0,9.2,15.0,0,0,,DC,2023-05-01,2023-06-01
MR Marsh,3,3,7.0,0,60,5,3/18,12.0,8.57,8.4,0,0,,DC,2023-05-01,2023-06-01
A Nortje,3,3,12.0,0,118,4,2/36,29.5,9.83,18.0,0,0,,DC,2023-05-01,2023-06-01
AR Patel,6,6,21.0,0,154,4,2/27,38.5,7.33,31.5,0,0,,DC,2023-05-01,2023-06-01
Kuldeep Yadav,6,6,22.0,0,167,3,1/15,55.66,7.59,44.0,0,0,,DC,2023-05-01,2023-06-01
Mukesh Kumar,3,3,8.0,0,85,2,1/3,42.5,10.62,24.0,0,0,,DC,2023-05-01,2023-06-01
P Dubey,1,1,3.0,0,19,1,1/19,19.0,6.33,18.0,0,0,,DC,2023-05-01,2023-06-01
C Sakariya,1,1,4.0,0,36,1,1/36,36.0,9.0,24.0,0,0,,DC,2023-05-01,2023-06-01
Lalit Yadav,2,2,5.0,0,66,1,1/34,66.0,13.2,30.0,0,0,,DC,2023-05-01,2023-06-01
Aman Hakim Khan,6,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
YV Dhull,2,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
PK Garg,1,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
MK Pandey,4,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
RV Patel,3,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
RR Rossouw,6,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
PD Salt,6,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
PP Shaw,2,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
DA Warner,6,,,,,,,,,,,,,DC,2023-05-01,2023-06-01
M Pathirana,7,7,26.2,0,200,14,3/15,14.28,7.59,11.2,0,0,,CSK,2023-05-01,2023-06-01
DL Chahar,7,7,25.0,0,203,13,3/22,15.61,8.12,11.5,0,0,,CSK,2023-05-01,2023-06-01
RA Jadeja,7,7,25.0,0,191,7,2/18,27.28,7.64,21.4,0,0,,CSK,2023-05-01,2023-06-01
M Theekshana,7,7,25.0,1,190,6,2/23,31.66,7.6,25.0,0,0,,CSK,2023-05-01,2023-06-01
TU Deshpande,7,7,23.3,0,195,4,2/26,48.75,8.29,35.2,0,0,,CSK,2023-05-01,2023-06-01
MM Ali,7,4,13.0,0,70,2,2/13,35.0,5.38,39.0,0,0,,CSK,2023-05-01,2023-06-01
DP Conway,7,,,,,,,,,,,,,CSK,2023-05-01,2023-06-01
MS Dhoni,7,,,,,,,,,,,,,CSK,2023-05-01,2023-06-01
S Dube,7,,,,,,,,,,,,,CSK,2023-05-01,2023-06-01
RD Gaikwad,7,,,,,,,,,,,,,CSK,2023-05-01,2023-06-01
AM Rahane,7,,,,,,,,,,,,,CSK,2023-05-01,2023-06-01
AT Rayudu,7,,,,,,,,,,,,,CSK,2023-05-01,2023-06-01
YS Chahal,5,5,19.5,0,153,9,4/25,17.0,7.71,13.2,2,0,,RR,2023-05-01,2023-06-01
KM Asif,2,2,7.0,0,69,3,2/42,23.0,9.85,14.0,0,0,,RR,2023-05-01,2023-06-01
TA Boult,3,3,10.0,0,78,3,2/15,26.0,7.8,20.0,0,0,,RR,2023-05-01,2023-06-01
NA Saini,1,1,4.0,0,40,3,3/40,13.33,10.0,8.0,0,0,,RR,2023-05-01,2023-06-01
A Zampa,3,3,11.0,0,91,3,2/25,30.33,8.27,22.0,0,0,,RR,2023-05-01,2023-06-01
Sandeep Sharma,5,5,19.0,0,181,2,1/34,90.5,9.52,57.0,0,0,,RR,2023-05-01,2023-06-01
R Ashwin,4,4,13.0,0,108,1,1/35,108.0,8.3,78.0,0,0,,RR,2023-05-01,2023-06-01
K Yadav,1,1,4.0,0,50,1,1/50,50.0,12.5,24.0,0,0,,RR,2023-05-01,2023-06-01
M Ashwin,1,1,3.0,0,42,0,,,14.0,,0,0,,RR,2023-05-01,2023-06-01
OC McCoy,1,1,1.0,0,13,0,,,13.0,,0,0,,RR,2023-05-01,2023-06-01
JE Root,3,1,2.0,0,14,0,,,7.0,,0,0,,RR,2023-05-01,2023-06-01
JC Buttler,5,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
SO Hetmyer,5,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
YBK Jaiswal,5,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
DC Jurel,5,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
D Padikkal,3,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
R Parag,2,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
SV Samson,5,,,,,,,,,,,,,RR,2023-05-01,2023-06-01
CV Varun,5,5,19.0,0,148,7,3/26,21.14,7.78,16.2,0,0,,KKR,2023-05-01,2023-06-01
VG Arora,4,4,14.0,0,124,5,2/30,24.8,8.85,16.8,0,0,,KKR,2023-05-01,2023-06-01
SN Thakur,5,4,9.1,0,83,5,2/23,16.6,9.05,11.0,0,0,,KKR,2023-05-01,2023-06-01
Harshit Rana,5,5,14.0,0,122,4,2/33,30.5,8.71,21.0,0,0,,KKR,2023-05-01,2023-06-01
SP Narine,5,5,16.0,0,101,4,2/15,25.25,6.31,24.0,0,0,,KKR,2023-05-01,2023-06-01
N Rana,5,3,3.0,0,36,1,1/7,36.0,12.0,18.0,0,0,,KKR,2023-05-01,2023-06-01
AS Roy,2,2,4.0,0,46,1,1/26,46.0,11.5,24.0,0,0,,KKR,2023-05-01,2023-06-01
AD Russell,5,3,3.0,0,46,1,1/15,46.0,15.33,18.0,0,0,,KKR,2023-05-01,2023-06-01
Suyash Sharma,4,4,11.0,0,89,1,1/26,89.0,8.09,66.0,0,0,,KKR,2023-05-01,2023-06-01
VR Iyer,5,,,,,,,,,,,,,KKR,2023-05-01,2023-06-01
Rahmanullah Gurbaz,5,,,,,,,,,,,,,KKR,2023-05-01,2023-06-01
JJ Roy,5,,,,,,,,,,,,,KKR,2023-05-01,2023-06-01
RK Singh,5,,,,,,,,,,,,,KKR,2023-05-01,2023-06-01
Yash Dayal,3,3,11.0,0,97,3,1/23,32.33,8.81,22.0,0,0,,RCB,2024-03-01,2024-04-01
C Green,3,3,6.0,0,53,2,2/27,26.5,8.83,18.0,0,0,,RCB,2024-03-01,2024-04-01
GJ Maxwell,3,2,4.0,0,36,2,2/29,18.0,9.0,12.0,0,0,,RCB,2024-03-01,2024-04-01
Mohammed Siraj,3,3,11.0,0,110,2,2/26,55.0,10.0,33.0,0,0,,RCB,2024-03-01,2024-04-01
MJ Dagar,3,3,7.5,0,63,1,1/23,63.0,8.04,47.0,0,0,,RCB,2024-03-01,2024-04-01
AS Joseph,3,3,9.4,0,115,1,1/43,115.0,11.89,58.0,0,0,,RCB,2024-03-01,2024-04-01
KV Sharma,1,1,2.0,0,24,1,1/24,24.0,12.0,12.0,0,0,,RCB,2024-03-01,2024-04-01
V Vyshak,1,1,4.0,0,23,1,1/23,23.0,5.75,24.0,0,0,,RCB,2024-03-01,2024-04-01
Anuj Rawat,3,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
F du Plessis,3,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
KD Karthik,3,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
V Kohli,3,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
MK Lomror,1,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
RM Patidar,3,,,,,,,,,,,,,RCB,2024-03-01,2024-04-01
Arshdeep Singh,3,3,10.2,0,98,4,2/28,24.5,9.48,15.5,0,0,,PBKS,2024-03-01,2024-04-01
SM Curran,3,3,8.0,0,68,4,3/28,17.0,8.5,12.0,0,0,,PBKS,2024-03-01,2024-04-01
K Rabada,3,3,12.0,0,97,4,2/23,24.25,8.08,18.0,0,0,,PBKS,2024-03-01,2024-04-01
Harpreet Brar,3,3,9.0,0,41,3,2/13,13.66,4.55,18.0,0,0,,PBKS,2024-03-01,2024-04-01
HV Patel,3,3,12.0,0,137,3,2/47,45.66,11.41,24.0,0,0,,PBKS,2024-03-01,2024-04-01
RD Chahar,3,3,8.0,0,91,2,1/33,45.5,11.37,24.0,0,0,,PBKS,2024-03-01,2024-04-01
JM Bairstow,3,,,,,,,,,,,,,PBKS,2024-03-01,2024-04-01
S Dhawan,3,,,,,,,,,,,,,PBKS,2024-03-01,2024-04-01
LS Livingstone,3,,,,,,,,,,,,,PBKS,2024-03-01,2024-04-01
Prabhsimran Singh,3,,,,,,,,,,,,,PBKS,2024-03-01,2024-04-01
JM Sharma,3,,,,,,,,,,,,,PBKS,2024-03-01,2024-04-01
Shashank Singh,3,,,,,,,,,,,,,PBKS,2024-03-01,2024-04-01
JJ Bumrah,3,3,12.0,0,76,3,3/14,25.33,6.33,24.0,0,0,,MI,2024-03-01,2024-04-01
G Coetzee,3,3,10.3,0,120,3,2/27,40.0,11.42,21.0,0,0,,MI,2024-03-01,2024-04-01
A Madhwal,1,1,4.0,0,20,3,3/20,6.66,5.0,8.0,0,0,,MI,2024-03-01,2024-04-01
PP Chawla,3,3,8.0,0,83,2,1/31,41.5,10.37,24.0,0,0,,MI,2024-03-01,2024-04-01
KT Maphaka,2,2,6.0,0,89,1,1/23,89.0,14.83,36.0,0,0,,MI,2024-03-01,2024-04-01
HH Pandya,3,2,7.0,0,76,1,1/46,76.0,10.85,42.0,0,0,,MI,2024-03-01,2024-04-01
SZ Mulani,2,2,5.0,0,57,0,,,11.4,,0,0,,MI,2024-03-01,2024-04-01
Naman Dhir,3,1,1.0,0,13,0,,,13.0,,0,0,,MI,2024-03-01,2024-04-01
L Wood,1,1,2.0,0,25,0,,,12.5,,0,0,,MI,2024-03-01,2024-04-01
D Brevis,2,,,,,,,,,,,,,MI,2024-03-01,2024-04-01
TH David,3,,,,,,,,,,,,,MI,2024-03-01,2024-04-01
Ishan Kishan,3,,,,,,,,,,,,,MI,2024-03-01,2024-04-01
RG Sharma,3,,,,,,,,,,,,,MI,2024-03-01,2024-04-01
R Shepherd,1,,,,,,,,,,,,,MI,2024-03-01,2024-04-01
NT Tilak Varma,3,,,,,,,,,,,,,MI,2024-03-01,2024-04-01
Mohsin Khan,2,2,8.0,0,79,3,2/34,26.33,9.87,16.0,0,0,,LSG,2024-03-01,2024-04-01
MP Yadav,1,1,4.0,0,27,3,3/27,9.0,6.75,8.0,0,0,,LSG,2024-03-01,2024-04-01
Naveen-ul-Haq,2,2,8.0,0,84,2,2/41,42.0,10.5,24.0,0,0,,LSG,2024-03-01,2024-04-01
Ravi Bishnoi,2,2,7.0,0,63,1,1/38,63.0,9.0,42.0,0,0,,LSG,2024-03-01,2024-04-01
A Badoni,2,1,1.0,0,6,0,,,6.0,,0,0,,LSG,2024-03-01,2024-04-01
KH Pandya,2,2,7.0,0,45,0,,,6.42,,0,0,,LSG,2024-03-01,2024-04-01
M Siddharth,1,1,2.0,0,21,0,,,10.5,,0,0,,LSG,2024-03-01,2024-04-01
Yash Thakur,1,1,3.0,0,43,0,,,14.33,,0,0,,LSG,2024-03-01,2024-04-01
Q de Kock,2,,,,,,,,,,,,,LSG,2024-03-01,2024-04-01
DJ Hooda,1,,,,,,,,,,,,,LSG,2024-03-01,2024-04-01
D Padikkal,2,,,,,,,,,,,,,LSG,2024-03-01,2024-04-01
N Pooran,2,,,,,,,,,,,,,LSG,2024-03-01,2024-04-01
KL Rahul,2,,,,,,,,,,,,,LSG,2024-03-01,2024-04-01
MP Stoinis,2,,,,,,,,,,,,,LSG,2024-03-01,2024-04-01
MM Sharma,3,3,12.0,0,93,6,3/25,15.5,7.75,12.0,0,0,,GT,2024-03-01,2024-04-01
Azmatullah Omarzai,3,3,9.0,0,81,3,2/27,27.0,9.0,18.0,0,0,,GT,2024-03-01,2024-04-01
SH Johnson,2,2,6.0,0,60,3,2/25,20.0,10.0,12.0,0,0,,GT,2024-03-01,2024-04-01
Rashid Khan,3,3,12.0,0,105,3,2/49,35.0,8.75,24.0,0,0,,GT,2024-03-01,2024-04-01
UT Yadav,3,3,8.0,0,86,3,2/31,28.66,10.75,16.0,0,0,,GT,2024-03-01,2024-04-01
R Sai Kishore,2,2,7.0,0,52,2,1/24,26.0,7.42,21.0,0,0,,GT,2024-03-01,2024-04-01
Noor Ahmad,1,1,4.0,0,32,1,1/32,32.0,8.0,24.0,0,0,,GT,2024-03-01,2024-04-01
DG Nalkande,1,1,2.0,0,18,0,,,9.0,,0,0,,GT,2024-03-01,2024-04-01
DA Miller,3,,,,,,,,,,,,,GT,2024-03-01,2024-04-01
WP Saha,3,,,,,,,,,,,,,GT,2024-03-01,2024-04-01
B Sai Sudharsan,3,,,,,,,,,,,,,GT,2024-03-01,2024-04-01
V Shankar,3,,,,,,,,,,,,,GT,2024-03-01,2024-04-01
Shubman Gill,3,,,,,,,,,,,,,GT,2024-03-01,2024-04-01
R Tewatia,3,,,,,,,,,,,,,GT,2024-03-01,2024-04-01
KK Ahmed,3,3,12.0,1,88,5,2/21,17.6,7.33,14.4,0,0,,DC,2024-03-01,2024-04-01
Mukesh Kumar,2,2,7.0,0,70,4,3/21,17.5,10.0,10.5,0,0,,DC,2024-03-01,2024-04-01
Kuldeep Yadav,2,2,8.0,0,61,3,2/20,20.33,7.62,16.0,0,0,,DC,2024-03-01,2024-04-01
AR Patel,3,3,11.0,0,66,2,1/20,33.0,6.0,33.0,0,0,,DC,2024-03-01,2024-04-01
A Nortje,2,2,8.0,0,91,1,1/48,91.0,11.37,48.0,0,0,,DC,2024-03-01,2024-04-01
I Sharma,2,2,5.0,0,39,1,1/16,39.0,7.8,30.0,0,0,,DC,2024-03-01,2024-04-01
MR Marsh,3,2,5.0,0,66,0,,,13.2,,0,0,,DC,2024-03-01,2024-04-01
Rasikh Salam,1,1,2.0,0,25,0,,,12.5,,0,0,,DC,2024-03-01,2024-04-01
Sumit Kumar,2,1,1.2,0,19,0,,,14.25,,0,0,,DC,2024-03-01,2024-04-01
Abishek Porel,3,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
RK Bhui,2,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
SD Hope,1,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
RR Pant,3,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
PP Shaw,1,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
T Stubbs,3,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
DA Warner,3,,,,,,,,,,,,,DC,2024-03-01,2024-04-01
Mustafizur Rahman,3,3,12.0,0,106,7,4/29,15.14,8.83,10.2,1,0,,CSK,2024-03-01,2024-04-01
M Pathirana,2,2,8.0,0,60,4,3/31,15.0,7.5,12.0,0,0,,CSK,2024-03-01,2024-04-01
DL Chahar,3,3,12.0,0,107,3,2/28,35.66,8.91,24.0,0,0,,CSK,2024-03-01,2024-04-01
TU Deshpande,3,3,12.0,0,92,2,2/21,46.0,7.66,36.0,0,0,,CSK,2024-03-01,2024-04-01
RA Jadeja,3,3,10.0,0,79,1,1/43,79.0,7.9,60.0,0,0,,CSK,2024-03-01,2024-04-01
DJ Mitchell,3,1,2.0,0,18,1,1/18,18.0,9.0,12.0,0,0,,CSK,2024-03-01,2024-04-01
M Theekshana,1,1,4.0,0,36,0,,,9.0,,0,0,,CSK,2024-03-01,2024-04-01
MS Dhoni,3,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
S Dube,3,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
RD Gaikwad,3,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
AM Rahane,3,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
R Ravindra,3,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
Sameer Rizvi,3,,,,,,,,,,,,,CSK,2024-03-01,2024-04-01
YS Chahal,3,3,10.0,0,55,6,3/11,9.16,5.5,10.0,0,0,,RR,2024-03-01,2024-04-01
TA Boult,3,3,11.0,0,86,5,3/22,17.2,7.81,13.2,0,0,,RR,2024-03-01,2024-04-01
N Burger,3,3,10.0,0,91,5,2/29,18.2,9.1,12.0,0,0,,RR,2024-03-01,2024-04-01
Avesh Khan,3,3,11.0,0,80,2,1/29,40.0,7.27,33.0,0,0,,RR,2024-03-01,2024-04-01
R Ashwin,3,3,11.0,0,92,1,1/35,92.0,8.36,66.0,0,0,,RR,2024-03-01,2024-04-01
Sandeep Sharma,2,2,7.0,0,58,1,1/22,58.0,8.28,42.0,0,0,,RR,2024-03-01,2024-04-01
JC Buttler,3,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
SB Dubey,1,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
SO Hetmyer,3,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
YBK Jaiswal,3,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
DC Jurel,3,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
R Parag,3,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
SV Samson,3,,,,,,,,,,,,,RR,2024-03-01,2024-04-01
Harshit Rana,2,2,8.0,0,72,5,3/33,14.4,9.0,9.6,0,0,,KKR,2024-03-01,2024-04-01
AD Russell,2,2,6.0,0,54,4,2/25,13.5,9.0,9.0,0,0,,KKR,2024-03-01,2024-04-01
SP Narine,2,2,8.0,0,59,2,1/19,29.5,7.37,24.0,0,0,,KKR,2024-03-01,2024-04-01
CV Varun,2,2,6.0,0,75,1,1/55,75.0,12.5,36.0,0,0,,KKR,2024-03-01,2024-04-01
AS Roy,1,1,2.0,0,6,0,,,3.0,,0,0,,KKR,2024-03-01,2024-04-01
MA Starc,2,2,8.0,0,100,0,,,12.5,,0,0,,KKR,2024-03-01,2024-04-01
Suyash Sharma,1,1,2.0,0,18,0,,,9.0,,0,0,,KKR,2024-03-01,2024-04-01
SS Iyer,2,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
VR Iyer,2,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
A Raghuvanshi,1,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
Ramandeep Singh,2,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
N Rana,1,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
PD Salt,2,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
RK Singh,2,,,,,,,,,,,,,KKR,2024-03-01,2024-04-01
Yash Dayal,6,6,23.0,0,220,5,2/56,44.0,9.56,27.6,0,0,,RCB,2024-04-01,2024-05-01
C Green,5,5,14.1,0,141,4,2/12,35.25,9.95,21.2,0,0,,RCB,2024-04-01,2024-05-01
Mohammed Siraj,6,6,23.0,0,213,4,1/34,53.25,9.26,34.5,0,0,,RCB,2024-04-01,2024-05-01
RJW Topley,4,4,15.0,0,168,4,2/27,42.0,11.2,22.5,0,0,,RCB,2024-04-01,2024-05-01
LH Ferguson,3,3,10.0,0,127,3,2/52,42.33,12.7,20.0,0,0,,RCB,2024-04-01,2024-05-01
GJ Maxwell,4,3,8.0,0,68,3,2/23,22.66,8.5,16.0,0,0,,RCB,2024-04-01,2024-05-01
Swapnil Singh,2,2,6.0,0,63,3,2/40,21.0,10.5,12.0,0,0,,RCB,2024-04-01,2024-05-01
WG Jacks,5,3,7.0,0,79,2,1/23,39.5,11.28,21.0,0,0,,RCB,2024-04-01,2024-05-01
KV Sharma,3,3,11.0,0,100,2,2/29,50.0,9.09,33.0,0,0,,RCB,2024-04-01,2024-05-01
Akash Deep,1,1,3.3,0,55,1,1/55,55.0,15.71,21.0,0,0,,RCB,2024-04-01,2024-05-01
V Vyshak,2,2,7.0,0,96,1,1/32,96.0,13.71,42.0,0,0,,RCB,2024-04-01,2024-05-01
MJ Dagar,2,2,4.0,0,57,0,,,14.25,,0,0,,RCB,2024-04-01,2024-05-01
MK Lomror,5,1,1.0,0,18,0,,,18.0,,0,0,,RCB,2024-04-01,2024-05-01
H Sharma,1,1,2.0,0,29,0,,,14.5,,0,0,,RCB,2024-04-01,2024-05-01
Anuj Rawat,2,,,,,,,,,,,,,RCB,2024-04-01,2024-05-01
SD Chauhan,3,,,,,,,,,,,,,RCB,2024-04-01,2024-05-01
F du Plessis,7,,,,,,,,,,,,,RCB,2024-04-01,2024-05-01
KD Karthik,7,,,,,,,,,,,,,RCB,2024-04-01,2024-05-01
V Kohli,7,,,,,,,,,,,,,RCB,2024-04-01,2024-05-01
RM Patidar,7,,,,,,,,,,,,,RCB,2024-04-01,2024-05-01
SS Prabhudessai,1,,,,,,,,,,,,,RCB,2024-04-01,2024-05-01
HV Patel,7,7,21.0,0,201,11,3/15,18.27,9.57,11.4,0,0,,PBKS,2024-04-01,2024-05-01
Arshdeep Singh,7,7,25.0,0,256,9,4/29,28.44,10.24,16.6,1,0,,PBKS,2024-04-01,2024-05-01
SM Curran,7,7,23.0,0,240,8,2/25,30.0,10.43,17.2,0,0,,PBKS,2024-04-01,2024-05-01
K Rabada,7,7,27.0,0,251,7,2/18,35.85,9.29,23.1,0,0,,PBKS,2024-04-01,2024-05-01
RD Chahar,2,2,8.0,0,49,3,2/16,16.33,6.12,16.0,0,0,,PBKS,2024-04-01,2024-05-01
Harpreet Brar,7,7,24.0,0,197,3,2/17,65.66,8.2,48.0,0,0,,PBKS,2024-04-01,2024-05-01
LS Livingstone,3,3,9.0,0,56,3,2/19,18.66,6.22,18.0,0,0,,PBKS,2024-04-01,2024-05-01
Sikandar Raza,2,1,2.0,0,22,0,,,11.0,,0,0,,PBKS,2024-04-01,2024-05-01
JM Bairstow,5,,,,,,,,,,,,,PBKS,2024-04-01,2024-05-01
S Dhawan,2,,,,,,,,,,,,,PBKS,2024-04-01,2024-05-01
Harpreet Singh,2,,,,,,,,,,,,,PBKS,2024-04-01,2024-05-01
Prabhsimran Singh,7,,,,,,,,,,,,,PBKS,2024-04-01,2024-05-01
RR Rossouw,4,,,,,,,,,,,,,PBKS,2024-04-01,2024-05-01
AR Sharma,7,,,,,,,,,,,,,PBKS,2024-04-01,2024-05-01
JM Sharma,7,,,,,,,,,,,,,PBKS,2024-04-01,2024-05-01
Shashank Singh,7,,,,,,,,,,,,,PBKS,2024-04-01,2024-05-01
A Taide,1,,,,,,,,,,,,,PBKS,2024-04-01,2024-05-01
JJ Bumrah,8,8,32.0,0,206,11,5/21,18.72,6.43,17.4,0,1,,MI,2024-04-01,2024-05-01
G Coetzee,7,7,23.3,0,233,10,4/34,23.3,9.91,14.1,1,0,,MI,2024-04-01,2024-05-01
A Madhwal,5,5,18.1,0,205,5,3/20,41.0,11.28,21.8,0,0,,MI,2024-04-01,2024-05-01
HH Pandya,8,6,16.0,0,177,5,2/26,35.4,11.06,19.2,0,0,,MI,2024-04-01,2024-05-01
S Gopal,3,3,7.0,0,67,3,1/9,22.33,9.57,14.0,0,0,,MI,2024-04-01,2024-05-01
PP Chawla,5,5,16.0,0,142,2,1/33,71.0,8.87,48.0,0,0,,MI,2024-04-01,2024-05-01
Mohammad Nabi,7,6,12.2,0,109,2,1/16,54.5,8.83,37.0,0,0,,MI,2024-04-01,2024-05-01
