Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,,Team,Start Date,End Date
SO Hetmyer,3,3,0,43,26,14.33,33,130.3,0,0,0,4,2,,RR,2024-05-01,2024-06-01
JC Buttler,3,3,0,40,21,13.33,43,93.02,0,0,1,4,1,,RR,2024-05-01,2024-06-01
R Ashwin,7,6,3,33,28,11.0,28,117.85,0,0,1,3,1,,RR,2024-05-01,2024-06-01
SB Dubey,2,2,0,25,25,12.5,13,192.3,0,0,1,2,2,,RR,2024-05-01,2024-06-01
TA Boult,7,3,2,14,12,14.0,15,93.33,0,0,0,2,0,,RR,2024-05-01,2024-06-01
Avesh Khan,7,2,2,10,7,,5,200.0,0,0,0,1,0,,RR,2024-05-01,2024-06-01
D Ferreira,2,2,0,8,7,4.0,11,72.72,0,0,0,0,0,,RR,2024-05-01,2024-06-01
N Burger,2,,,,,,,,,,,,,,RR,2024-05-01,2024-06-01
YS Chahal,6,,,,,,,,,,,,,,RR,2024-05-01,2024-06-01
Sandeep Sharma,7,,,,,,,,,,,,,,RR,2024-05-01,2024-06-01
VR Iyer,6,5,3,216,70,108.0,128,168.75,0,3,0,21,12,,KKR,2024-05-01,2024-06-01
SP Narine,6,5,0,116,81,23.2,66,175.75,0,1,1,10,9,,KKR,2024-05-01,2024-06-01
SS Iyer,6,5,2,100,58,33.33,56,178.57,0,1,0,11,4,,KKR,2024-05-01,2024-06-01
Rahmanullah Gurbaz,3,2,0,62,39,31.0,46,134.78,0,0,0,7,4,,KKR,2024-05-01,2024-06-01
A Raghuvanshi,2,2,0,45,32,22.5,32,140.62,0,0,0,3,3,,KKR,2024-05-01,2024-06-01
RK Singh,6,3,0,45,20,15.0,31,145.16,0,0,0,4,2,,KKR,2024-05-01,2024-06-01
Ramandeep Singh,6,3,2,44,25,44.0,18,244.44,0,0,0,2,4,,KKR,2024-05-01,2024-06-01
AD Russell,6,3,0,43,24,14.33,24,179.16,0,0,0,3,4,,KKR,2024-05-01,2024-06-01
PD Salt,3,3,0,43,32,14.33,22,195.45,0,0,0,6,2,,KKR,2024-05-01,2024-06-01
MK Pandey,1,1,0,42,42,42.0,31,135.48,0,0,0,2,2,,KKR,2024-05-01,2024-06-01
N Rana,1,1,0,33,33,33.0,23,143.47,0,0,0,4,1,,KKR,2024-05-01,2024-06-01
MA Starc,6,2,1,2,2,2.0,4,50.0,0,0,1,0,0,,KKR,2024-05-01,2024-06-01
VG Arora,5,1,1,0,0,,0,,0,0,0,0,0,,KKR,2024-05-01,2024-06-01
Harshit Rana,5,,,,,,,,,,,,,,KKR,2024-05-01,2024-06-01
AS Roy,1,,,,,,,,,,,,,,KKR,2024-05-01,2024-06-01
CV Varun,6,,,,,,,,,,,,,,KKR,2024-05-01,2024-06-01
